club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
GNK Dinamo Zagreb,Amir Rrahmani,22,Kosovo,Centre-Back,CB,25000000.0,RNK Split,Croatia,1600000.0,in,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Marko Leskovic,25,Croatia,Centre-Back,CB,,HNK Rijeka,Croatia,1500000.0,in,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Ante Majstorovic,22,Croatia,Centre-Back,CB,,RNK Split,Croatia,,in,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Ali Karimi,22,Iran,Central Midfield,CM,,Sepahan,Iran,,in,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Danijel Zagorac,29,Croatia,Goalkeeper,GK,,RNK Split,Croatia,0.0,in,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Filip Uremovic,19,Croatia,Centre-Back,CB,2000000.0,Cibalia,Croatia,,in,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Marko Mikulic,22,Croatia,Goalkeeper,GK,,NK Lokomotiva,Croatia,,in,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Marko Pjaca,21,Croatia,Left Winger,LW,1700000.0,Juventus,Italy,29400000.0,out,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Josip Brekalo,18,Croatia,Left Winger,LW,5000000.0,VfL Wolfsburg,Germany,10000000.0,out,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Marcelo Brozovic,23,Croatia,Defensive Midfield,DM,20000000.0,Inter,Italy,5000000.0,out,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Jérémy Taravel,29,France,Centre-Back,CB,,KAA Gent,Belgium,,out,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Said Husejinovic,28,Bosnia-Herzegovina,Left Winger,LW,,FK Sarajevo,Bosnia-Herzegovina,,out,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Franko Andrijasevic,25,Croatia,Attacking Midfield,AM,,HNK Rijeka,Croatia,,out,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Borna Barisic,23,Croatia,Left-Back,LB,6500000.0,NK Osijek,Croatia,,out,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Antonijo Jezina,27,Croatia,Goalkeeper,GK,,Royal Antwerp,Belgium,,out,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Eduardo,33,Portugal,Goalkeeper,GK,,Chelsea,England,,out,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Oliver Zelenika,23,Croatia,Goalkeeper,GK,,Without Club,,,out,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Ante Rukavina,30,Croatia,Centre-Forward,CF,,,,,out,summer,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Sammir,29,Croatia,Attacking Midfield,AM,,JS Suning,China,0.0,in,winter,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Ivan Fiolic,20,Croatia,Attacking Midfield,AM,,NK Lokomotiva,Croatia,,in,winter,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Mirko Maric,21,Croatia,Centre-Forward,CF,,Videoton FC,Hungary,,out,winter,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Goran Zakaric,24,Bosnia-Herzegovina,Right Winger,RW,,Zeljeznicar,Bosnia-Herzegovina,0.0,out,winter,Supersport Hnl,2016,False,
GNK Dinamo Zagreb,Damir Sovsic,27,Croatia,Attacking Midfield,AM,,Suwon Bluewings,"Korea, South",,out,winter,Supersport Hnl,2016,False,
HNK Cibalia Vinkovci,Luka Muzenjak,23,Croatia,Defensive Midfield,DM,,Segesta Sisak,Croatia,0.0,in,summer,Supersport Hnl,2016,False,
HNK Cibalia Vinkovci,Tiago Faria,27,Brazil,Left Winger,LW,,Zeljeznicar,Bosnia-Herzegovina,0.0,in,summer,Supersport Hnl,2016,False,
HNK Cibalia Vinkovci,Jure Jerbic,26,Croatia,Centre-Back,CB,,NK Zadar,Croatia,0.0,in,summer,Supersport Hnl,2016,False,
HNK Cibalia Vinkovci,Matej Karacic,22,Croatia,Left Midfield,LM,,Siroki Brijeg,Bosnia-Herzegovina,0.0,in,summer,Supersport Hnl,2016,False,
HNK Cibalia Vinkovci,Marko Ivkic,23,Croatia,Goalkeeper,GK,,HNK Orasje,Bosnia-Herzegovina,0.0,in,summer,Supersport Hnl,2016,False,
HNK Cibalia Vinkovci,Ivan Prskalo,21,Croatia,Centre-Forward,CF,,Hajduk Split,Croatia,0.0,in,summer,Supersport Hnl,2016,False,
