club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
FK Borac Cacak,Tiago Galvão,27.0,Brazil,Attacking Midfield,AM,,FK Cukaricki,Serbia,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Uros Delic,29.0,Montenegro,Defensive Midfield,DM,,Metalac,Serbia,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Bacar Baldé,24.0,Guinea-Bissau,Left-Back,LB,,Stellenbosch FC,South Africa,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Igor Vukomanovic,19.0,Serbia,Centre-Back,CB,,Jedinstvo Uzice,Serbia,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Kennedy Asamoah,19.0,Ghana,Attacking Midfield,AM,,Unknown,,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Milan Gasic,22.0,Serbia,Centre-Back,CB,,Napredak,Serbia,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Dragoljub Andjelkovic,23.0,Serbia,Centre-Forward,CF,,Sloga 33,Serbia,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Branimir Aleksic,25.0,Serbia,Goalkeeper,GK,,AEL Kalloni,Greece,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Nemanja Stankovic,18.0,Serbia,Left Winger,LW,,MSK Zilina B,Slovakia,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Nenad Kocovic,21.0,Serbia,Left-Back,LB,,Proleter,Serbia,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Lazar Sajcic,19.0,Serbia,Attacking Midfield,AM,,Jagodina,Serbia,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Marko Zocevic,23.0,Serbia,Central Midfield,CM,,Mladost,Serbia,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Stefan Mihajlovic,22.0,Serbia,Centre-Forward,CF,,FC Chiasso,Switzerland,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Vladimir Bogdanovic,29.0,Serbia,Defensive Midfield,DM,,Radnicki Nis,Serbia,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Zoran Kostic,33.0,Serbia,Attacking Midfield,AM,,Nyíregyháza,Hungary,0.0,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Nikola Ilic,22.0,Germany,Defensive Midfield,DM,,Großhadern,Germany,,in,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Vladimir Bajic,28.0,Serbia,Goalkeeper,GK,,Radnicki Nis,Serbia,0.0,out,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Dusan Vujadinovic,19.0,Serbia,Striker,Striker,,BSK Borca,Serbia,0.0,out,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Radojko Cerovic,21.0,Serbia,Right-Back,RB,,LFK Mladost,Serbia,0.0,out,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Bacar Baldé,24.0,Guinea-Bissau,Left-Back,LB,,Mirandela,Portugal,0.0,out,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Branislav Tomic,21.0,Serbia,Right Winger,RW,,Metalac,Serbia,0.0,out,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Milorad Balabanovic,26.0,Serbia,Central Midfield,CM,,Backa,Serbia,0.0,out,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Stefan Milojevic,27.0,Serbia,Left Winger,LW,,FK Bezanija,Serbia,0.0,out,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Moustapha Bangura,26.0,Sierra Leone,Attacking Midfield,AM,,FK Zemun,Serbia,0.0,out,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Stefan Vukmirovic,25.0,Serbia,Attacking Midfield,AM,,Sloboda Uzice,Serbia,0.0,out,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Vuk Sotirovic,33.0,Serbia,Centre-Forward,CF,,FK Zemun,Serbia,0.0,out,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Iliyan Yordanov,27.0,Bulgaria,Left-Back,LB,,Vereya,Bulgaria,0.0,out,summer,Super Liga Srbije,2016,False,
FK Borac Cacak,Boris Bulajic,28.0,Montenegro,Defensive Midfield,DM,,FK Iskra,Montenegro,0.0,out,summer,Super Liga Srbije,2016,False,
