club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
1.FC Köln,Marvin Schwäbe,26,Germany,Goalkeeper,GK,7000000.0,Bröndby IF,Denmark,0.0,in,summer,1 Bundesliga,2021,False,
1.FC Köln,Dejan Ljubicic,23,Austria,Defensive Midfield,DM,10000000.0,Rapid Vienna,Austria,0.0,in,summer,1 Bundesliga,2021,False,
1.FC Köln,Timo Hübers,24,Germany,Centre-Back,CB,8500000.0,Hannover 96,Germany,0.0,in,summer,1 Bundesliga,2021,False,
1.FC Köln,Mark Uth,29,Germany,Centre-Forward,CF,1500000.0,FC Schalke 04,Germany,0.0,in,summer,1 Bundesliga,2021,False,
1.FC Köln,Sebastiaan Bornauw,22,Belgium,Centre-Back,CB,7000000.0,VfL Wolfsburg,Germany,13500000.0,out,summer,1 Bundesliga,2021,False,
1.FC Köln,Ismail Jakobs,21,Senegal,Left-Back,LB,6000000.0,Monaco,France,6500000.0,out,summer,1 Bundesliga,2021,False,
1.FC Köln,Birger Verstraete,27,Belgium,Defensive Midfield,DM,1800000.0,Royal Antwerp,Belgium,2000000.0,out,summer,1 Bundesliga,2021,False,
1.FC Köln,Julian Krahl,21,Germany,Goalkeeper,GK,,Viktoria Berlin,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1.FC Köln,Lasse Sobiech,30,Germany,Centre-Back,CB,,Darmstadt 98,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1.FC Köln,Dominick Drexler,31,Germany,Attacking Midfield,AM,,FC Schalke 04,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1.FC Köln,Marco Höger,31,Germany,Defensive Midfield,DM,,W. Mannheim,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1.FC Köln,Vincent Koziello,25,France,Central Midfield,CM,,KV Oostende,Belgium,0.0,out,summer,1 Bundesliga,2021,False,
1.FC Köln,Max Meyer,25,Germany,Attacking Midfield,AM,3000000.0,Fenerbahce,Turkey,0.0,out,summer,1 Bundesliga,2021,False,
1.FC Köln,Marcel Risse,31,Germany,Right Winger,RW,,Viktoria Köln,Germany,,out,summer,1 Bundesliga,2021,False,
1.FC Köln,João Queirós,23,Portugal,Centre-Back,CB,,Chaves,Portugal,,out,summer,1 Bundesliga,2021,False,
1.FC Köln,Jorge Meré,24,Spain,Centre-Back,CB,1200000.0,América,Mexico,,out,winter,1 Bundesliga,2021,False,
1.FC Köln,Rafael Czichos,31,Germany,Centre-Back,CB,,Chicago,United States,,out,winter,1 Bundesliga,2021,False,
1.FC Köln,Robert Voloder,20,Germany,Centre-Back,CB,1500000.0,NK Maribor,Slovenia,,out,winter,1 Bundesliga,2021,False,
1.FC Köln,Sava-Arangel Cestic,20,Serbia,Centre-Back,CB,,HNK Rijeka,Croatia,0.0,out,winter,1 Bundesliga,2021,False,
1.FC Union Berlin,Taiwo Awoniyi,23,Nigeria,Centre-Forward,CF,30000000.0,Liverpool,England,8550000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Tymoteusz Puchacz,22,Poland,Left-Back,LB,1500000.0,Lech Poznan,Poland,2500000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Leon Dajaku,20,Germany,Second Striker,SS,,FC Bayern II,Germany,1500000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Kevin Möhwald,28,Germany,Central Midfield,CM,,Werder Bremen,Germany,1000000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Frederik Rönnow,28,Denmark,Goalkeeper,GK,5500000.0,E. Frankfurt,Germany,1000000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Keita Endo,23,Japan,Attacking Midfield,AM,,Yokohama F. M.,Japan,,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Julius Kade,22,Germany,Central Midfield,CM,,Dynamo Dresden,Germany,,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Rick van Drongelen,22,Netherlands,Centre-Back,CB,,Hamburger SV,Germany,,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Andreas Voglsammer,29,Germany,Centre-Forward,CF,,Arm. Bielefeld,Germany,0.0,in,summer,1 Bundesliga,2021,False,
