club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Desna Chernigiv,Vitaliy Pryndeta,26,Ukraine,Centre-Back,CB,,SKA Khabarovsk,Russia,0.0,in,summer,Premier Liga Ukr,2019,False,
Desna Chernigiv,Vladyslav Kalitvintsev,26,Ukraine,Right Midfield,RM,,Arsenal Kyiv,Ukraine,0.0,in,summer,Premier Liga Ukr,2019,False,
Desna Chernigiv,Artur Zapadnya,29,Ukraine,Left-Back,LB,,Volyn Lutsk,Ukraine,0.0,in,summer,Premier Liga Ukr,2019,False,
Desna Chernigiv,Andriy Dombrovskyi,23,Ukraine,Defensive Midfield,DM,,Arsenal Kyiv,Ukraine,0.0,in,summer,Premier Liga Ukr,2019,False,
Desna Chernigiv,Mykhaylo Sergiychuk,27,Ukraine,Centre-Forward,CF,,JFK Ventspils,Latvia,0.0,out,summer,Premier Liga Ukr,2019,False,
Desna Chernigiv,Mykhaylo Kozak,28,Ukraine,Right Winger,RW,,FC Shevardeni,Georgia,0.0,out,summer,Premier Liga Ukr,2019,False,
Desna Chernigiv,Dmytro Nemchaninov,29,Ukraine,Centre-Back,CB,,Rukh Lviv,Ukraine,0.0,out,summer,Premier Liga Ukr,2019,False,
Desna Chernigiv,Andriy Slinkin,28,Ukraine,Left-Back,LB,,MFK Mykolaiv,Ukraine,0.0,out,summer,Premier Liga Ukr,2019,False,
Desna Chernigiv,Andriy Yakymiv,22,Ukraine,Centre-Back,CB,,Kaposvár,Hungary,0.0,out,summer,Premier Liga Ukr,2019,False,
Desna Chernigiv,Maksym Banasevych,24,Ukraine,Left Midfield,LM,,Rukh Lviv,Ukraine,0.0,out,summer,Premier Liga Ukr,2019,False,
Desna Chernigiv,Kostyantyn Makhnovskyi,30,Ukraine,Goalkeeper,GK,,JFK Ventspils,Latvia,,out,summer,Premier Liga Ukr,2019,False,
Desna Chernigiv,Temur Partsvaniya,27,Ukraine,Centre-Back,CB,,Without Club,,,out,summer,Premier Liga Ukr,2019,False,
Desna Chernigiv,Sergiy Lyulka,29,Ukraine,Right-Back,RB,,Without Club,,,out,summer,Premier Liga Ukr,2019,False,
Desna Chernigiv,Oleksiy Gutsulyak,22,Ukraine,Left Midfield,LM,1800000.0,Karpaty,Ukraine,,in,winter,Premier Liga Ukr,2019,False,
Desna Chernigiv,Pylyp Budkivskyi,27,Ukraine,Centre-Forward,CF,,Zorya Lugansk,Ukraine,0.0,in,winter,Premier Liga Ukr,2019,False,
Desna Chernigiv,Levan Arveladze,26,Ukraine,Central Midfield,CM,,Zorya Lugansk,Ukraine,,in,winter,Premier Liga Ukr,2019,False,
Desna Chernigiv,Andriy Totovytskyi,27,Ukraine,Attacking Midfield,AM,,Shakhtar D.,Ukraine,,in,winter,Premier Liga Ukr,2019,False,
Desna Chernigiv,Joonas Tamm,27,Estonia,Centre-Back,CB,,FC Flora,Estonia,,in,winter,Premier Liga Ukr,2019,False,
Desna Chernigiv,Artem Favorov,25,Ukraine,Central Midfield,CM,,Puskás AFC,Hungary,,out,winter,Premier Liga Ukr,2019,False,
Desna Chernigiv,Andriy Bogdanov,29,Ukraine,Central Midfield,CM,,Kolos Kovalivka,Ukraine,0.0,out,winter,Premier Liga Ukr,2019,False,
Desna Chernigiv,Vitaliy Pryndeta,26,Ukraine,Centre-Back,CB,,Volyn Lutsk,Ukraine,0.0,out,winter,Premier Liga Ukr,2019,False,
Dynamo Kyiv,Oleksandr Karavaev,27,Ukraine,Right-Back,RB,2500000.0,Zorya Lugansk,Ukraine,2500000.0,in,summer,Premier Liga Ukr,2019,False,
Dynamo Kyiv,Gerson Rodrigues,24,Luxembourg,Left Winger,LW,1700000.0,Júbilo Iwata,Japan,2000000.0,in,summer,Premier Liga Ukr,2019,False,
Dynamo Kyiv,Mohammed Kadiri,23,Ghana,Defensive Midfield,DM,,Austria Vienna,Austria,,in,summer,Premier Liga Ukr,2019,False,
Dynamo Kyiv,Artur Rudko,27,Ukraine,Goalkeeper,GK,,Pafos FC,Cyprus,0.0,out,summer,Premier Liga Ukr,2019,False,
Dynamo Kyiv,Mykola Morozyuk,31,Ukraine,Right-Back,RB,,C. Rizespor,Turkey,0.0,out,summer,Premier Liga Ukr,2019,False,
Dynamo Kyiv,Zurab Ochigava,24,Ukraine,Centre-Back,CB,,Vorskla Poltava,Ukraine,0.0,out,summer,Premier Liga Ukr,2019,False,
Dynamo Kyiv,Maksym Koval,26,Ukraine,Goalkeeper,GK,,Al-Fateh,Saudi Arabia,,out,summer,Premier Liga Ukr,2019,False,
Dynamo Kyiv,Aleksandar Pantic,27,Serbia,Centre-Back,CB,,Without Club,,,out,summer,Premier Liga Ukr,2019,False,
Dynamo Kyiv,Benito,21,Nigeria,Right Winger,RW,,Tambov,Russia,0.0,in,winter,Premier Liga Ukr,2019,False,
Dynamo Kyiv,Ibrahim Kargbo Jr.,19,Belgium,Centre-Forward,CF,,Without Club,,,in,winter,Premier Liga Ukr,2019,False,
Dynamo Kyiv,Derlis González,25,Paraguay,Second Striker,SS,3300000.0,Olimpia,Paraguay,5050000.0,out,winter,Premier Liga Ukr,2019,False,
Dynamo Kyiv,Tamás Kádár,29,Hungary,Centre-Back,CB,,SD Luneng,China,4000000.0,out,winter,Premier Liga Ukr,2019,False,
