club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,normalized_name
1.FC Köln,Sebastiaan Bornauw,20.0,Belgium,Centre-Back,CB,7000000.0,RSC Anderlecht,Belgium,8250000.0,in,summer,1 Bundesliga,2019,False,,sebastiaan bornauw
1.FC Köln,Ellyes Skhiri,24.0,Tunisia,Defensive Midfield,DM,13000000.0,Montpellier,France,6000000.0,in,summer,1 Bundesliga,2019,False,,ellyes skhiri
1.FC Köln,Birger Verstraete,25.0,Belgium,Defensive Midfield,DM,1800000.0,KAA Gent,Belgium,4000000.0,in,summer,1 Bundesliga,2019,False,,birger verstraete
1.FC Köln,Kingsley Ehizibue,24.0,Netherlands,Right-Back,RB,2500000.0,PEC Zwolle,Netherlands,2000000.0,in,summer,1 Bundesliga,2019,False,,kingsley ehizibue
1.FC Union Berlin,Robert Andrich,24.0,Germany,Central Midfield,CM,11000000.0,Heidenheim,Germany,3150000.0,in,summer,1 Bundesliga,2019,False,,robert andrich
1.FC Union Berlin,Marvin Friedrich,23.0,Germany,Centre-Back,CB,4000000.0,FC Augsburg,Germany,2500000.0,in,summer,1 Bundesliga,2019,False,,marvin friedrich
1.FC Union Berlin,Anthony Ujah,28.0,Nigeria,Centre-Forward,CF,,1.FSV Mainz 05,Germany,2000000.0,in,summer,1 Bundesliga,2019,False,,anthony ujah
1.FC Union Berlin,Marcus Ingvartsen,23.0,Denmark,Centre-Forward,CF,5500000.0,KRC Genk,Belgium,1500000.0,in,summer,1 Bundesliga,2019,False,,marcus ingvartsen
1.FSV Mainz 05,Aarón Martín,22.0,Spain,Left-Back,LB,7000000.0,Espanyol,Spain,8000000.0,in,summer,1 Bundesliga,2019,False,,aaron martin
1.FSV Mainz 05,Jerry St. Juste,22.0,Netherlands,Centre-Back,CB,10000000.0,Feyenoord,Netherlands,8000000.0,in,summer,1 Bundesliga,2019,False,,jerry st. juste
1.FSV Mainz 05,Edimilson Fernandes,23.0,Switzerland,Centre-Back,CB,5500000.0,West Ham,England,7500000.0,in,summer,1 Bundesliga,2019,False,,edimilson fernandes
1.FSV Mainz 05,Ronaël Pierre-Gabriel,21.0,France,Right-Back,RB,4000000.0,Monaco,France,5500000.0,in,summer,1 Bundesliga,2019,False,,ronael pierre-gabriel
1.FSV Mainz 05,Jonathan Meier,19.0,Germany,Left-Back,LB,,FC Bayern II,Germany,1200000.0,in,summer,1 Bundesliga,2019,False,,jonathan meier
Bayer 04 Leverkusen,Kerem Demirbay,25.0,Germany,Central Midfield,CM,6000000.0,TSG Hoffenheim,Germany,32000000.0,in,summer,1 Bundesliga,2019,False,,kerem demirbay
Bayer 04 Leverkusen,Moussa Diaby,19.0,France,Right Winger,RW,55000000.0,Paris SG,France,15000000.0,in,summer,1 Bundesliga,2019,False,,moussa diaby
Bayer 04 Leverkusen,Nadiem Amiri,22.0,Germany,Central Midfield,CM,4000000.0,TSG Hoffenheim,Germany,9000000.0,in,summer,1 Bundesliga,2019,False,,nadiem amiri
Bayer 04 Leverkusen,Daley Sinkgraven,23.0,Netherlands,Left-Back,LB,1500000.0,Ajax,Netherlands,5000000.0,in,summer,1 Bundesliga,2019,False,,daley sinkgraven
Bayer 04 Leverkusen,Edmond Tapsoba,20.0,Burkina Faso,Centre-Back,CB,40000000.0,Vit. Guimarães,Portugal,20200000.0,in,winter,1 Bundesliga,2019,False,,edmond tapsoba
Bayer 04 Leverkusen,Exequiel Palacios,21.0,Argentina,Central Midfield,CM,35000000.0,River Plate,Argentina,17000000.0,in,winter,1 Bundesliga,2019,False,,exequiel palacios
Bayern Munich,Lucas Hernández,23.0,France,Centre-Back,CB,45000000.0,Atlético Madrid,Spain,80000000.0,in,summer,1 Bundesliga,2019,False,,lucas hernandez
Bayern Munich,Benjamin Pavard,23.0,France,Centre-Back,CB,40000000.0,VfB Stuttgart,Germany,35000000.0,in,summer,1 Bundesliga,2019,False,,benjamin pavard
Bayern Munich,Michaël Cuisance,20.0,France,Central Midfield,CM,2000000.0,Bor. M'gladbach,Germany,8000000.0,in,summer,1 Bundesliga,2019,False,,michael cuisance
Bayern Munich,Fiete Arp,19.0,Germany,Centre-Forward,CF,,Hamburger SV,Germany,3000000.0,in,summer,1 Bundesliga,2019,False,,fiete arp
Borussia Dortmund,Mats Hummels,30.0,Germany,Centre-Back,CB,6000000.0,Bayern Munich,Germany,30500000.0,in,summer,1 Bundesliga,2019,False,,mats hummels
Borussia Dortmund,Nico Schulz,26.0,Germany,Left-Back,LB,,TSG Hoffenheim,Germany,25500000.0,in,summer,1 Bundesliga,2019,False,,nico schulz
Borussia Dortmund,Thorgan Hazard,26.0,Belgium,Left Winger,LW,6000000.0,Bor. M'gladbach,Germany,25500000.0,in,summer,1 Bundesliga,2019,False,,thorgan hazard
Borussia Dortmund,Julian Brandt,23.0,Germany,Attacking Midfield,AM,40000000.0,B. Leverkusen,Germany,25000000.0,in,summer,1 Bundesliga,2019,False,,julian brandt
Borussia Dortmund,Paco Alcácer,25.0,Spain,Centre-Forward,CF,7000000.0,Barcelona,Spain,21000000.0,in,summer,1 Bundesliga,2019,False,,paco alcacer
Borussia Dortmund,Erling Haaland,19.0,Norway,Centre-Forward,CF,180000000.0,RB Salzburg,Austria,20000000.0,in,winter,1 Bundesliga,2019,False,,erling haaland
Borussia Mönchengladbach,Stefan Lainer,26.0,Austria,Right-Back,RB,3000000.0,RB Salzburg,Austria,12500000.0,in,summer,1 Bundesliga,2019,False,,stefan lainer
Borussia Mönchengladbach,Breel Embolo,22.0,Switzerland,Centre-Forward,CF,15000000.0,FC Schalke 04,Germany,11000000.0,in,summer,1 Bundesliga,2019,False,,breel embolo
Borussia Mönchengladbach,Marcus Thuram,21.0,France,Centre-Forward,CF,40000000.0,Guingamp,France,9000000.0,in,summer,1 Bundesliga,2019,False,,marcus thuram
Borussia Mönchengladbach,Ramy Bensebaini,24.0,Algeria,Left-Back,LB,20000000.0,Stade Rennais,France,8000000.0,in,summer,1 Bundesliga,2019,False,,ramy bensebaini
Eintracht Frankfurt,Luka Jović,21.0,Serbia,Centre-Forward,CF,8000000.0,Benfica,Portugal,22340000.0,in,summer,1 Bundesliga,2019,False,,luka jovic
Eintracht Frankfurt,Djibril Sow,22.0,Switzerland,Central Midfield,CM,22000000.0,BSC Young Boys,Switzerland,14000000.0,in,summer,1 Bundesliga,2019,False,,djibril sow
Eintracht Frankfurt,Martin Hinteregger,26.0,Austria,Centre-Back,CB,,FC Augsburg,Germany,9000000.0,in,summer,1 Bundesliga,2019,False,,martin hinteregger
Eintracht Frankfurt,Dominik Kohr,25.0,Germany,Defensive Midfield,DM,3500000.0,B. Leverkusen,Germany,8500000.0,in,summer,1 Bundesliga,2019,False,,dominik kohr
Eintracht Frankfurt,Bas Dost,30.0,Netherlands,Centre-Forward,CF,1300000.0,Sporting CP,Portugal,7000000.0,in,summer,1 Bundesliga,2019,False,,bas dost
Eintracht Frankfurt,Kevin Trapp,29.0,Germany,Goalkeeper,GK,8500000.0,Paris SG,France,7000000.0,in,summer,1 Bundesliga,2019,False,,kevin trapp
Eintracht Frankfurt,Filip Kostić,26.0,Serbia,Left Midfield,LM,15000000.0,Hamburger SV,Germany,6300000.0,in,summer,1 Bundesliga,2019,False,,filip kostic
Eintracht Frankfurt,Sebastian Rode,28.0,Germany,Central Midfield,CM,2000000.0,Bor. Dortmund,Germany,4000000.0,in,summer,1 Bundesliga,2019,False,,sebastian rode
Eintracht Frankfurt,Dejan Joveljic,19.0,Serbia,Centre-Forward,CF,3500000.0,Red Star,Serbia,4000000.0,in,summer,1 Bundesliga,2019,False,,dejan joveljic
FC Augsburg,Tomas Koubek,26.0,Czech Republic,Goalkeeper,GK,1000000.0,Stade Rennais,France,7500000.0,in,summer,1 Bundesliga,2019,False,,tomas koubek
FC Augsburg,Iago,22.0,Brazil,Left-Back,LB,5500000.0,Internacional,Brazil,6500000.0,in,summer,1 Bundesliga,2019,False,,iago
FC Augsburg,Carlos Gruezo,24.0,Ecuador,Defensive Midfield,DM,3000000.0,Dallas,United States,5500000.0,in,summer,1 Bundesliga,2019,False,,carlos gruezo
FC Augsburg,Rubén Vargas,20.0,Switzerland,Right Winger,RW,6500000.0,FC Luzern,Switzerland,4000000.0,in,summer,1 Bundesliga,2019,False,,ruben vargas
FC Augsburg,Florian Niederlechner,28.0,Germany,Centre-Forward,CF,,SC Freiburg,Germany,2500000.0,in,summer,1 Bundesliga,2019,False,,florian niederlechner
FC Augsburg,Reece Oxford,20.0,England,Centre-Back,CB,4000000.0,West Ham,England,2000000.0,in,summer,1 Bundesliga,2019,False,,reece oxford
FC Augsburg,Noah Joel Sarenren Bazee,22.0,Germany,Right Winger,RW,,Hannover 96,Germany,1700000.0,in,summer,1 Bundesliga,2019,False,,noah joel sarenren bazee
FC Augsburg,Marvin Friedrich,23.0,Germany,Centre-Back,CB,4000000.0,Union Berlin,Germany,1000000.0,in,summer,1 Bundesliga,2019,False,,marvin friedrich
FC Schalke 04,Ozan Kabak,19.0,Turkey,Centre-Back,CB,13000000.0,VfB Stuttgart,Germany,15000000.0,in,summer,1 Bundesliga,2019,False,,ozan kabak
FC Schalke 04,Benito Raman,24.0,Belgium,Centre-Forward,CF,1500000.0,F. Düsseldorf,Germany,10000000.0,in,summer,1 Bundesliga,2019,False,,benito raman
FC Schalke 04,Bernard Tekpetey,21.0,Ghana,Right Winger,RW,5500000.0,SC Paderborn,Germany,2500000.0,in,summer,1 Bundesliga,2019,False,,bernard tekpetey
Fortuna Düsseldorf,Nana Ampomah,23.0,Ghana,Left Winger,LW,,Waasl.-Beveren,Belgium,2800000.0,in,summer,1 Bundesliga,2019,False,,nana ampomah
Fortuna Düsseldorf,Dawid Kownacki,22.0,Poland,Centre-Forward,CF,3500000.0,Sampdoria,Italy,6750000.0,in,winter,1 Bundesliga,2019,False,,dawid kownacki
Hertha BSC,Dodi Lukébakio,21.0,Belgium,Right Winger,RW,15000000.0,Watford,England,20000000.0,in,summer,1 Bundesliga,2019,False,,dodi lukebakio
Hertha BSC,Eduard Löwen,22.0,Germany,Central Midfield,CM,4500000.0,1.FC Nuremberg,Germany,7000000.0,in,summer,1 Bundesliga,2019,False,,eduard lowen
Hertha BSC,Daishawn Redan,18.0,Suriname,Centre-Forward,CF,1000000.0,Chelsea U23,England,2700000.0,in,summer,1 Bundesliga,2019,False,,daishawn redan
Hertha BSC,Lucas Tousart,22.0,France,Defensive Midfield,DM,7000000.0,Olympique Lyon,France,25000000.0,in,winter,1 Bundesliga,2019,False,,lucas tousart
Hertha BSC,Krzysztof Piatek,24.0,Poland,Centre-Forward,CF,5500000.0,AC Milan,Italy,24000000.0,in,winter,1 Bundesliga,2019,False,,krzysztof piatek
