club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AC Milan,Rafael Leão,20,Portugal,Left Winger,LW,90000000.0,LOSC Lille,France,49500000.0,in,summer,Serie A,2019,False,
AC Milan,Franck Kessié,22,Cote d'Ivoire,Central Midfield,CM,20000000.0,Atalanta BC,Italy,32000000.0,in,summer,Serie A,2019,False,
AC Milan,Theo Hernández,21,France,Left-Back,LB,60000000.0,Real Madrid,Spain,22800000.0,in,summer,Serie A,2019,False,
AC Milan,Ismaël Bennacer,21,Algeria,Defensive Midfield,DM,38000000.0,FC Empoli,Italy,17200000.0,in,summer,Serie A,2019,False,
AC Milan,Léo Duarte,23,Brazil,Centre-Back,CB,3300000.0,Flamengo,Brazil,10600000.0,in,summer,Serie A,2019,False,
AC Milan,Rade Krunic,25,Bosnia-Herzegovina,Defensive Midfield,DM,10000000.0,FC Empoli,Italy,8600000.0,in,summer,Serie A,2019,False,
AC Milan,Patrick Cutrone,21,Italy,Centre-Forward,CF,2500000.0,Wolves,England,18000000.0,out,summer,Serie A,2019,False,
AC Milan,Manuel Locatelli,21,Italy,Defensive Midfield,DM,30000000.0,Sassuolo,Italy,14000000.0,out,summer,Serie A,2019,False,
AC Milan,Gian Filippo Felicioli,21,Italy,Left-Back,LB,,Venezia,Italy,,out,summer,Serie A,2019,False,
AC Milan,Cristián Zapata,32,Colombia,Centre-Back,CB,,Genoa,Italy,0.0,out,summer,Serie A,2019,False,
AC Milan,Andrés Llamas,21,Italy,Left-Back,LB,,Pistoiese,Italy,0.0,out,summer,Serie A,2019,False,
AC Milan,Stefan Simic,24,Czech Republic,Centre-Back,CB,,Hajduk Split,Croatia,0.0,out,summer,Serie A,2019,False,
AC Milan,Ignazio Abate,32,Italy,Right-Back,RB,,Without Club,,,out,summer,Serie A,2019,False,
AC Milan,Riccardo Montolivo,34,Italy,Defensive Midfield,DM,,,,,out,summer,Serie A,2019,False,
AC Milan,Andrea Bertolacci,28,Italy,Central Midfield,CM,,Without Club,,,out,summer,Serie A,2019,False,
