height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age_y,position,short_pos,fee,window,league,season
184,78,Armenia,74,75,Right,1,3,4,2022.0,58,77,63,73,71,79,57,39,58,75,79,81,79,72,73,72,73,75,68,69,66,22,74,69,60,65,46,25,26,14,15,10,15,10,28.0,Centre-Forward,CF,1000000.0,winter,Jupiler Pro League,2021
180,73,Turkey,74,75,Left,1,3,3,2021.0,71,69,62,76,68,74,76,74,77,75,69,72,74,73,68,77,58,83,61,75,64,51,74,77,75,74,41,55,45,14,11,6,11,8,28.0,Central Midfield,CM,1800000.0,summer,Super Lig,2021
182,81,Switzerland,74,74,Right,1,4,3,2023.0,73,72,68,73,57,76,76,66,69,77,76,73,73,75,67,80,65,77,76,79,72,76,75,74,62,74,22,73,68,15,15,7,14,9,30.0,Left Winger,LW,2500000.0,summer,Super League 1,2021
180,78,England,74,74,Right,1,3,3,2022.0,61,76,65,65,68,71,57,44,54,70,83,86,77,76,74,80,72,71,73,63,70,33,77,67,74,72,74,23,20,11,16,11,9,14,30.0,Centre-Forward,CF,1800000.0,summer,Premier League,2021
188,77,England,74,74,Right,2,2,2,2023.0,65,49,80,65,20,57,45,24,62,67,55,62,62,70,50,57,82,72,77,27,76,75,56,51,66,68,77,73,75,7,8,7,7,5,31.0,Centre-Back,CB,2300000.0,summer,Premier League,2021
183,75,Italy,74,74,Right,2,3,2,2022.0,40,25,74,54,33,54,38,17,54,58,63,55,67,71,77,52,77,49,68,25,85,77,23,30,35,73,72,80,78,13,11,13,11,6,31.0,Centre-Back,CB,2400000.0,summer,Serie A,2021
178,72,Greece,74,74,Left,1,3,3,2023.0,73,48,50,73,68,71,76,81,73,73,75,75,73,71,75,89,70,70,71,83,85,65,41,41,46,68,48,76,77,11,7,15,10,14,27.0,Left-Back,LB,1000000.0,summer,Ger Bundesliga,2021
180,73,France,74,74,Right,2,4,3,2021.0,69,76,77,74,74,70,70,71,67,74,69,72,89,78,70,75,81,78,61,72,63,44,77,79,76,71,66,21,18,14,7,11,9,14,31.0,Centre-Forward,CF,1500000.0,summer,Ligue 1,2021
180,78,Iran,74,74,Right,2,4,4,2023.0,70,68,62,71,70,79,64,46,62,77,77,78,78,72,75,84,84,73,66,74,68,42,72,73,58,75,69,37,40,13,11,9,7,7,27.0,Right Winger,RW,1000000.0,summer,Eredivisie,2021
180,75,Sweden,74,74,Left,1,4,2,2021.0,66,44,68,66,40,56,28,22,57,68,75,73,72,71,78,71,87,74,70,57,70,72,36,26,38,71,27,76,75,7,9,12,8,14,31.0,Centre-Back,CB,2000000.0,summer,Serie A,2021
191,86,Senegal,74,74,Right,1,4,3,2023.0,56,78,83,61,68,60,67,48,45,70,65,64,41,73,42,81,61,44,88,70,48,19,77,60,72,74,74,25,29,7,10,10,10,8,29.0,Centre-Forward,CF,2000000.0,summer,Super Lig,2021
182,78,Switzerland,73,84,Right,1,3,2,2024.0,68,34,66,66,41,60,54,43,64,68,75,75,70,70,66,70,82,89,74,45,73,67,52,59,47,65,75,70,71,11,12,12,6,8,24.0,Right-Back,RB,5000000.0,winter,Serie A,2021
187,78,Belgium,73,84,Right,1,3,2,2023.0,54,42,72,72,29,64,54,34,70,69,58,60,65,70,59,58,65,71,74,37,69,74,47,59,62,74,20,75,76,11,9,9,9,6,21.0,Centre-Back,CB,4500000.0,summer,Serie A,2021
187,78,Belgium,73,84,Right,1,3,2,2023.0,54,42,72,72,29,64,54,34,70,69,58,60,65,70,59,58,65,71,74,37,69,74,47,59,62,74,20,75,76,11,9,9,9,6,21.0,Centre-Back,CB,16200000.0,summer,Serie A,2021
185,76,Switzerland,73,82,Right,1,4,3,2022.0,68,66,58,75,48,72,65,64,72,74,73,68,75,71,72,68,66,87,64,69,63,66,67,74,51,69,8,64,61,10,9,15,9,15,25.0,Central Midfield,CM,4000000.0,winter,Serie A,2021
168,69,England,73,81,Right,1,3,3,2022.0,62,74,61,68,66,72,69,59,58,73,93,88,87,73,90,73,84,78,61,74,80,41,73,66,68,73,42,23,25,10,13,13,12,7,24.0,Centre-Forward,CF,17700000.0,summer,Premier League,2021
170,66,England,73,81,Left,1,3,4,2022.0,66,67,44,73,52,78,66,49,65,77,79,75,92,63,90,65,43,56,33,67,38,21,71,75,62,76,72,18,19,12,7,8,7,12,24.0,Right Winger,RW,3200000.0,summer,Ligue 1,2021
170,66,England,73,81,Left,1,3,4,2022.0,66,67,44,73,52,78,66,49,65,77,79,75,92,63,90,65,43,56,33,67,38,21,71,75,62,76,72,18,19,12,7,8,7,12,24.0,Right Winger,RW,3200000.0,winter,Premier League,2021
185,75,England,73,81,Right,1,3,3,2022.0,52,26,71,75,41,68,45,37,70,72,75,77,73,73,67,53,73,68,75,34,73,71,50,64,50,77,16,74,73,5,8,5,13,12,23.0,Centre-Back,CB,3500000.0,summer,Premier League,2021
185,75,England,73,81,Right,1,3,3,2022.0,52,26,71,75,41,68,45,37,70,72,75,77,73,73,67,53,73,68,75,34,73,71,50,64,50,77,16,74,73,5,8,5,13,12,24.0,Centre-Back,CB,3500000.0,summer,Premier League,2021
185,75,England,73,81,Right,1,3,3,2022.0,52,26,71,75,41,68,45,37,70,72,75,77,73,73,67,53,73,68,75,34,73,71,50,64,50,77,16,74,73,5,8,5,13,12,24.0,Centre-Back,CB,1000000.0,winter,Serie A,2021
177,75,Argentina,73,81,Right,1,3,3,2020.0,59,54,65,74,53,66,54,42,69,75,64,66,69,70,71,62,70,70,71,58,73,70,58,68,50,66,59,75,74,11,7,10,8,14,24.0,Defensive Midfield,DM,2000000.0,winter,Laliga,2021
175,68,Sweden,73,80,Left,1,2,3,2023.0,65,74,62,72,73,72,75,59,62,73,78,75,75,73,77,73,73,74,69,75,70,18,76,75,65,65,75,15,16,16,7,13,12,12,24.0,Centre-Forward,CF,3000000.0,winter,Allsvenskan,2021
182,76,Ukraine,73,80,Right,1,4,3,2021.0,71,71,59,74,76,73,75,67,68,75,76,75,74,68,76,70,64,87,72,73,57,62,73,71,68,64,73,59,55,15,12,6,9,11,25.0,Attacking Midfield,AM,1500000.0,summer,Serie A,2021
177,75,France,73,80,Right,1,3,4,2022.0,70,73,63,71,66,76,70,73,68,76,75,74,78,64,74,65,59,71,63,65,47,34,71,69,61,72,73,36,34,6,5,11,6,8,22.0,Left Winger,LW,3200000.0,summer,Super Lig,2021
190,82,Croatia,73,80,Left,1,3,3,2022.0,73,53,64,76,59,72,72,74,74,75,52,53,59,72,62,74,62,71,73,69,68,67,69,74,51,73,71,71,69,13,10,11,11,7,24.0,Central Midfield,CM,7100000.0,summer,Serie A,2021
180,75,France,73,80,Right,1,3,3,2022.0,36,76,69,65,64,75,48,42,41,73,74,78,65,68,61,76,70,71,80,65,59,22,74,56,67,56,63,17,14,11,10,15,14,10,24.0,Centre-Forward,CF,12000000.0,summer,Laliga,2021
173,68,France,73,79,Left,1,2,3,2023.0,70,53,62,68,58,71,69,68,67,70,71,71,73,68,81,84,50,87,59,75,85,72,66,64,60,65,40,72,68,6,7,10,11,13,23.0,Left-Back,LB,12000000.0,summer,Premier League,2021
181,72,Slovakia,73,79,Left,1,3,3,2024.0,76,64,38,79,75,74,78,74,77,77,67,52,76,73,77,78,59,70,59,76,52,49,66,77,63,60,70,50,47,12,10,9,9,9,23.0,Central Midfield,CM,3500000.0,summer,Ger Bundesliga,2021
