height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,age_y,position,short_pos,fee,window,league,season,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
173,74,Belgium,91,91,Right,4,4,4,2020,28,Left Winger,LW,115000000,summer,Laliga,2019,81,84,61,89,80,95,83,79,83,94,93,89,95,90,94,80,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8
176,73,France,89,90,Left,4,3,4,2023,28,Centre-Forward,CF,120000000,summer,Laliga,2019,82,92,84,82,87,88,84,76,76,90,88,85,90,90,80,80,90,81,62,82,69,35,91,81,74,87,59,43,44,14,8,14,13,14
191,92,Germany,89,89,Right,4,3,3,2021,30,Centre-Back,CB,30500000,summer,Ger Bundesliga,2019,64,55,87,82,60,68,65,53,85,81,62,68,63,88,60,71,68,66,85,51,69,92,56,79,68,91,89,92,90,15,6,10,5,6
173,75,France,85,89,Left,3,3,4,2020,26,Attacking Midfield,AM,19750000,summer,Laliga,2019,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,81,82,73,28,81,81,81,89,31,37,25,15,9,8,14,15
189,83,Greece,85,87,Right,3,2,2,2022,28,Centre-Back,CB,36000000,summer,Serie A,2019,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89,8,6,8,15,12
188,77,Italy,84,89,Right,2,3,1,2022,27,Goalkeeper,GK,4000000,winter,Serie A,2019,11,11,12,33,19,19,15,13,31,23,57,56,70,79,30,23,75,30,52,17,25,19,12,44,21,65,20,12,19,81,85,71,79,90
177,75,Armenia,84,84,Right,3,5,4,2021,30,Central Midfield,CM,3100000,summer,Serie A,2019,77,76,53,81,81,85,83,64,72,86,85,79,87,81,85,85,69,83,62,73,69,64,82,84,72,76,41,53,55,5,11,14,5,7
192,80,France,83,87,Left,2,3,3,2019,24,Central Midfield,CM,40000000,summer,Serie A,2019,70,69,77,85,72,79,73,59,83,83,73,74,79,83,72,80,73,82,80,79,76,80,76,80,69,82,70,81,75,9,12,9,7,15
197,98,Germany,83,84,Right,2,1,1,2022,30,Goalkeeper,GK,3000000,summer,Premier League,2019,14,11,15,25,11,15,18,11,26,24,38,47,39,83,36,24,72,32,79,9,36,23,11,42,21,61,10,12,10,83,81,52,82,87
196,89,Netherlands,83,83,Right,3,3,2,2021,30,Centre-Forward,CF,7000000,summer,Ger Bundesliga,2019,38,87,94,73,85,68,61,30,37,74,49,54,32,85,32,82,51,82,92,72,70,39,89,68,88,81,38,45,26,6,12,15,11,8
185,82,Germany,82,88,Right,2,4,4,2021,23,Attacking Midfield,AM,25000000,summer,Ger Bundesliga,2019,77,78,42,82,66,87,72,59,69,85,78,83,82,80,78,80,63,73,68,78,42,29,78,83,54,69,38,20,24,11,16,11,8,9
194,100,England,82,84,Right,1,3,2,2022,26,Centre-Back,CB,87000000,summer,Premier League,2019,44,40,87,77,40,70,37,46,72,74,39,53,52,76,58,66,74,67,89,40,83,77,59,60,42,76,80,83,80,14,16,9,14,9
186,83,Turkey,82,83,Right,3,4,2,2021,30,Centre-Back,CB,1000000,summer,Ger Bundesliga,2019,49,28,81,76,47,63,44,33,70,72,71,84,64,81,61,62,80,67,78,29,70,81,35,59,43,78,83,84,84,11,8,11,12,15
178,72,England,82,83,Right,2,4,3,2022,28,Right-Back,RB,22000000,summer,Laliga,2019,91,45,73,78,50,75,86,80,78,79,76,75,74,81,74,73,73,88,65,66,70,80,75,80,66,73,77,82,79,11,14,8,11,10
183,76,Wales,82,83,Right,3,3,3,2019,28,Central Midfield,CM,2500000,summer,Serie A,2019,75,74,58,84,79,81,70,66,80,82,64,69,73,81,74,81,66,89,67,74,73,69,84,79,75,81,66,70,67,6,11,5,10,8
186,84,Italy,82,83,Left,2,3,4,2019,28,Centre-Forward,CF,12000000,summer,Serie A,2019,52,82,81,71,84,77,71,56,45,80,79,79,76,78,69,87,90,76,88,72,90,40,83,66,80,72,54,42,50,7,13,9,7,9
173,67,Italy,82,83,Right,3,3,4,2023,28,Right-Back,RB,2000000,winter,Laliga,2019,77,70,70,82,87,79,73,79,75,81,86,83,87,79,82,82,74,90,67,82,79,77,82,76,76,80,74,79,78,9,8,10,11,10
