height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,age_y,position,short_pos,fee,window,league,season,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
178,70,Netherlands,62,77,Right,1,3,2,2019,19,Right-Back,RB,1200000,winter,Eredivisie,2017,57,25,52,58,28,48,33,29,40,57,78,69,63,63,75,35,66,69,55,29,64,52,36,33,36,41,57,63,62,6,5,6,10,10
183,77,Italy,62,77,Right,1,3,2,2017,20,Central Midfield,CM,7000000,summer,Serie A,2017,43,36,29,73,38,63,52,37,58,68,70,68,68,72,59,45,38,71,37,46,59,32,29,68,42,38,48,38,43,10,7,5,7,10
182,78,Italy,62,76,Right,1,3,2,2017,20,Central Midfield,CM,1600000,summer,Serie A,2017,56,32,48,67,41,61,59,65,65,69,72,70,73,52,68,56,80,71,75,63,50,46,51,59,55,63,41,55,56,10,16,13,14,8
188,78,Austria,62,73,Left,1,3,3,2017,20,Left Winger,LW,1500000,summer,Austria Bundesliga,2017,56,44,56,60,38,64,50,47,51,70,77,79,69,53,51,42,64,64,61,31,48,48,53,57,41,43,55,46,50,5,9,7,11,12
180,75,France,62,73,Right,1,3,2,2019,20,Left Winger,LW,18000000,summer,Ligue 1,2017,44,58,50,51,48,65,41,42,37,59,77,78,73,63,64,72,59,62,58,51,55,10,61,54,68,50,21,20,14,14,7,6,8,15
180,75,France,62,73,Right,1,3,2,2019,21,Left Winger,LW,18000000,winter,Ligue 1,2017,44,58,50,51,48,65,41,42,37,59,77,78,73,63,64,72,59,62,58,51,55,10,61,54,68,50,21,20,14,14,7,6,8,15
191,81,Austria,62,72,Right,1,3,1,2017,22,Goalkeeper,GK,3000000,summer,Premier League,2017,14,17,12,36,23,14,18,20,35,22,50,55,60,69,44,21,57,36,64,15,31,26,13,20,31,22,16,11,11,60,58,54,60,65
180,74,Nigeria,62,72,Right,1,3,2,2017,21,Defensive Midfield,DM,2000000,summer,Allsvenskan,2017,41,45,56,65,45,61,47,35,62,62,62,66,76,57,67,65,72,75,75,53,73,68,55,51,47,51,63,67,64,8,11,15,6,14
190,80,Turkey,62,72,Left,1,2,2,2017,22,Centre-Back,CB,7500000,summer,Super Lig,2017,56,24,68,51,27,34,28,35,36,56,54,52,53,55,60,46,56,68,84,27,75,63,31,30,48,48,66,68,67,13,7,12,7,15
190,80,Turkey,62,72,Left,1,2,2,2017,23,Centre-Back,CB,7500000,winter,Super Lig,2017,56,24,68,51,27,34,28,35,36,56,54,52,53,55,60,46,56,68,84,27,75,63,31,30,48,48,66,68,67,13,7,12,7,15
180,80,Ghana,62,72,Right,1,3,2,2018,21,Centre-Back,CB,1250000,summer,Jupiler Pro League,2017,29,16,64,39,21,36,24,28,24,44,70,77,61,46,57,38,88,59,85,17,86,47,25,24,31,39,50,63,57,11,6,9,13,6
174,78,England,61,80,Right,1,4,2,2020,20,Second Striker,SS,30000000,winter,Ger Bundesliga,2017,31,64,44,49,52,66,33,28,30,56,84,84,82,59,79,54,68,51,54,51,57,13,63,44,62,60,16,13,12,12,12,9,15,6
189,78,Poland,61,78,Right,1,3,3,2023,20,Defensive Midfield,DM,2500000,summer,Premier League,2017,49,33,55,67,46,65,48,43,63,66,55,55,58,56,45,57,52,45,71,47,71,61,56,66,42,55,53,57,56,15,7,12,8,8
180,80,Germany,61,78,Right,1,2,2,2018,20,Centre-Forward,CF,1000000,winter,Ger Bundesliga,2017,40,64,60,59,44,57,45,33,37,60,66,60,64,58,72,58,66,60,66,57,50,23,57,49,63,55,19,26,16,8,13,16,11,8
177,73,France,61,78,Left,1,3,2,2018,19,Central Midfield,CM,6000000,summer,Ligue 1,2017,64,61,57,65,64,60,61,58,62,61,68,65,51,52,70,66,58,61,57,60,64,53,58,62,54,66,61,59,59,8,9,9,8,9
185,75,England,61,78,Right,1,3,2,2020,20,Centre-Back,CB,40000000,summer,Premier League,2017,35,31,62,46,26,41,29,40,45,38,74,72,48,46,57,41,54,48,67,34,67,63,32,36,27,52,58,63,61,10,13,10,11,7
186,69,England,61,77,Right,1,3,1,2017,21,Goalkeeper,GK,5000000,summer,Premier League,2017,14,16,19,26,16,17,15,13,26,19,42,46,38,61,37,24,48,30,46,17,23,28,12,35,18,31,13,21,20,61,58,57,60,60
186,69,England,61,77,Right,1,3,1,2017,20,Goalkeeper,GK,5000000,winter,Scottish Premiership,2017,14,16,19,26,16,17,15,13,26,19,42,46,38,61,37,24,48,30,46,17,23,28,12,35,18,31,13,21,20,61,58,57,60,60
184,75,Ivory Coast,61,76,Right,1,3,2,2021,19,Defensive Midfield,DM,1700000,summer,Jupiler Pro League,2017,45,26,60,63,35,63,37,41,61,68,63,66,56,48,51,56,62,73,78,38,68,53,28,56,42,46,51,61,56,8,11,14,12,7
