club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Bruk-Bet Termalica Nieciecza,Michal Markowski,25,Poland,Centre-Back,CB,,Chojniczanka,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Martin Juhar,27,Slovakia,Left Midfield,LM,,Slavia Prague,Czech Republic,0.0,in,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Mario Licka,33,Czech Republic,Attacking Midfield,AM,,FC Istres,France,0.0,in,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Dawid Abramowicz,24,Poland,Left-Back,LB,,Skra Czesto.,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Bartlomiej Smuczynski,19,Poland,Right Midfield,RM,,Lechia Gdansk,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Volodymyr Koval,23,Ukraine,Centre-Forward,CF,,Stomil Olsztyn,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Pavol Stano,37,Slovakia,Centre-Back,CB,,Podbeskidzie,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Sebastian Ziajka,32,Poland,Left-Back,LB,,Zawisza,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Andrzej Witan,25,Poland,Goalkeeper,GK,,Pogon Siedlce,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Bartlomiej Babiarz,26,Poland,Attacking Midfield,AM,,Ruch Chorzow,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Mateusz Kupczak,23,Poland,Defensive Midfield,DM,,Podbeskidzie,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Wojciech Kedziora,34,Poland,Centre-Forward,CF,,Piast Gliwice,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Jakub Kielb,22,Poland,Left Midfield,LM,,Jarota Jarocin,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Maciej Pochron,24,Poland,Goalkeeper,GK,,Unia Niedomice,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Dawid Abramowicz,24,Poland,Left-Back,LB,,P. Niepolomice,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Adrian Chomiuk,27,Poland,Right-Back,RB,,Bytovia Bytow,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Jakub Czerwinski,23,Poland,Centre-Back,CB,,Pogon Szczecin,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Peter Maslo,28,Slovakia,Right-Back,RB,,Ruzomberok,Slovakia,0.0,out,summer,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Vladislavs Gutkovskis,20,Latvia,Centre-Forward,CF,1000000.0,Skonto,Latvia,,in,winter,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Krzysztof Pilarz,35,Poland,Goalkeeper,GK,,Cracovia,Poland,,in,winter,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Artem Putivtsev,27,Ukraine,Centre-Back,CB,,Metalist,Ukraine,0.0,in,winter,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Stefan Nikolic,25,Montenegro,Centre-Forward,CF,,NK Istra,Croatia,0.0,in,winter,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Patrik Misak,24,Slovakia,Attacking Midfield,AM,,Banik Ostrava,Czech Republic,0.0,in,winter,Pko Bp Ekstraklasa,2015,False,
Bruk-Bet Termalica Nieciecza,Krzysztof Kaczmarczyk,35,Poland,Centre-Back,CB,,Stilon,Poland,0.0,out,winter,Pko Bp Ekstraklasa,2015,False,
