club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Amkar Perm,Chuma Anene,22,Norway,Centre-Forward,CF,,Rabotnicki,North Macedonia,0.0,in,summer,Premier Liga,2015,False,
Amkar Perm,Aleksandr Salugin,26,Russia,Centre-Forward,CF,,Torpedo Moskau,Russia,0.0,in,summer,Premier Liga,2015,False,
Amkar Perm,Pavel Komolov,26,Russia,Central Midfield,CM,,Zalgiris,Lithuania,0.0,in,summer,Premier Liga,2015,False,
Amkar Perm,Georgiy Dzhikiya,21,Russia,Centre-Back,CB,6500000.0,Khimik,Russia,0.0,in,summer,Premier Liga,2015,False,
Amkar Perm,Branko Jovicic,22,Serbia,Defensive Midfield,DM,,LASK,Austria,0.0,in,summer,Premier Liga,2015,False,
Amkar Perm,Izunna Uzochukwu,25,Nigeria,Defensive Midfield,DM,,FC Midtjylland,Denmark,0.0,in,summer,Premier Liga,2015,False,
Amkar Perm,Nikolay Zaytsev,26,Russia,Centre-Back,CB,,Tosno,Russia,,in,summer,Premier Liga,2015,False,
Amkar Perm,Maksim Batov,23,Russia,Central Midfield,CM,,Rubin Kazan,Russia,,out,summer,Premier Liga,2015,False,
Amkar Perm,Igor Picusceac,32,Moldova,Centre-Forward,CF,,FC Sheriff,Moldova,0.0,out,summer,Premier Liga,2015,False,
Amkar Perm,Damian Zbozien,26,Poland,Right-Back,RB,,Zaglebie Lubin,Poland,0.0,out,summer,Premier Liga,2015,False,
Amkar Perm,Aleksey Nikitin,23,Russia,Centre-Back,CB,,Ufa,Russia,0.0,out,summer,Premier Liga,2015,False,
Amkar Perm,Aleksandr Kolomeytsev,26,Russia,Central Midfield,CM,,Loko Moskau,Russia,0.0,out,summer,Premier Liga,2015,False,
Amkar Perm,Evgeniy Tyukalov,23,Russia,Attacking Midfield,AM,,Leiria,Portugal,0.0,out,summer,Premier Liga,2015,False,
Amkar Perm,Martin Jakubko,35,Slovakia,Centre-Forward,CF,,Ruzomberok,Slovakia,0.0,out,summer,Premier Liga,2015,False,
Amkar Perm,Marko Simonovski,23,North Macedonia,Centre-Forward,CF,,RNK Split,Croatia,0.0,out,summer,Premier Liga,2015,False,
Amkar Perm,David Dzakhov,26,Russia,Central Midfield,CM,,Without Club,,,out,summer,Premier Liga,2015,False,
Amkar Perm,Zahari Sirakov,37,Bulgaria,Right-Back,RB,,,,,out,summer,Premier Liga,2015,False,
Amkar Perm,Bright Dike,29,Nigeria,Centre-Forward,CF,,Without Club,,,out,summer,Premier Liga,2015,False,
Amkar Perm,Roland Gigolaev,25,Russia,Left Midfield,LM,,Ruch Chorzow,Poland,0.0,in,winter,Premier Liga,2015,False,
Amkar Perm,Oleg Mishchenko,26,Ukraine,Right Winger,RW,,Vorskla Poltava,Ukraine,0.0,in,winter,Premier Liga,2015,False,
Amkar Perm,David Dzakhov,27,Russia,Central Midfield,CM,,Without Club,,,in,winter,Premier Liga,2015,False,
Amkar Perm,Bright Dike,29,Nigeria,Centre-Forward,CF,,Without Club,,,in,winter,Premier Liga,2015,False,
Amkar Perm,Izunna Uzochukwu,25,Nigeria,Defensive Midfield,DM,,Odense BK,Denmark,,out,winter,Premier Liga,2015,False,
Amkar Perm,Georgi Peev,37,Bulgaria,Right Midfield,RM,,,,,out,winter,Premier Liga,2015,False,
Anzhi Makhachkala ( -2022),Ivan Maevskiy,27,Belarus,Defensive Midfield,DM,,Zawisza,Poland,,in,summer,Premier Liga,2015,False,
Anzhi Makhachkala ( -2022),Darko Lazic,20,Serbia,Centre-Back,CB,,Red Star,Serbia,,in,summer,Premier Liga,2015,False,
Anzhi Makhachkala ( -2022),Georgiy Tigiev,20,Russia,Left-Back,LB,,Torpedo Moskau,Russia,0.0,in,summer,Premier Liga,2015,False,
Anzhi Makhachkala ( -2022),Batraz Khadartsev,22,Russia,Left Midfield,LM,,Tosno,Russia,0.0,in,summer,Premier Liga,2015,False,
Anzhi Makhachkala ( -2022),Lorenzo Ebecilio,23,Netherlands,Attacking Midfield,AM,,Metalurg D.,Ukraine,0.0,in,summer,Premier Liga,2015,False,
Anzhi Makhachkala ( -2022),Hugo Almeida,31,Portugal,Centre-Forward,CF,,Kuban Krasnodar,Russia,0.0,in,summer,Premier Liga,2015,False,
Anzhi Makhachkala ( -2022),Aleksandr Zhirov,24,Russia,Centre-Back,CB,,Volgar,Russia,0.0,in,summer,Premier Liga,2015,False,
Anzhi Makhachkala ( -2022),Karlen Mkrtchyan,26,Armenia,Defensive Midfield,DM,,Tobol Kostanay,Kazakhstan,0.0,in,summer,Premier Liga,2015,False,
Anzhi Makhachkala ( -2022),Ewerton,26,Brazil,Centre-Back,CB,,Sporting CP,Portugal,1500000.0,out,summer,Premier Liga,2015,False,
Anzhi Makhachkala ( -2022),Sergey Miroshnichenko,32,Russia,Centre-Back,CB,,Torpedo Armavir,Russia,0.0,out,summer,Premier Liga,2015,False,
Anzhi Makhachkala ( -2022),Valeriy Kichin,22,Kyrgyzstan,Centre-Back,CB,,Tyumen,Russia,0.0,out,summer,Premier Liga,2015,False,
Anzhi Makhachkala ( -2022),Dmitriy Aydov,33,Russia,Centre-Back,CB,,Arsenal Tula,Russia,0.0,out,summer,Premier Liga,2015,False,
