club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Aberdeen FC,Graeme Shinnie,23,Scotland,Defensive Midfield,DM,,Inverness CT,Scotland,0.0,in,summer,Scottish Premiership,2015,False,
Aberdeen FC,Paul Quinn,29,Scotland,Centre-Back,CB,,Ross County,Scotland,0.0,in,summer,Scottish Premiership,2015,False,
Aberdeen FC,Nicky Low,23,Scotland,Central Midfield,CM,,Dundee FC,Scotland,0.0,out,summer,Scottish Premiership,2015,False,
Aberdeen FC,Declan McManus,20,Scotland,Centre-Forward,CF,,Fleetwood,England,0.0,out,summer,Scottish Premiership,2015,False,
Aberdeen FC,Clark Robertson,21,Scotland,Centre-Back,CB,,Blackpool,England,0.0,out,summer,Scottish Premiership,2015,False,
Aberdeen FC,Andy Driver,27,Scotland,Left Midfield,LM,,De Graafschap,Netherlands,0.0,out,summer,Scottish Premiership,2015,False,
Aberdeen FC,Joe Shaughnessy,22,Ireland,Centre-Back,CB,,St. Johnstone,Scotland,0.0,out,summer,Scottish Premiership,2015,False,
Aberdeen FC,Craig Murray,20,Scotland,Right Midfield,RM,,East Fife,Scotland,0.0,out,summer,Scottish Premiership,2015,False,
Aberdeen FC,Jamie Langfield,35,Scotland,Goalkeeper,GK,,St. Mirren,Scotland,0.0,out,summer,Scottish Premiership,2015,False,
Aberdeen FC,Russell Anderson,36,Scotland,Centre-Back,CB,,,,,out,summer,Scottish Premiership,2015,False,
Aberdeen FC,Jamie Masson,22,Scotland,Left Midfield,LM,,Without Club,,,out,summer,Scottish Premiership,2015,False,
Aberdeen FC,Aaron Lennox,22,Australia,Goalkeeper,GK,,Without Club,,,in,winter,Scottish Premiership,2015,False,
Aberdeen FC,Paul Quinn,30,Scotland,Centre-Back,CB,,Ross County,Scotland,0.0,out,winter,Scottish Premiership,2015,False,
Celtic FC,Jozo Simunovic,21,Croatia,Centre-Back,CB,,Dinamo Zagreb,Croatia,7500000.0,in,summer,Scottish Premiership,2015,False,
Celtic FC,Nadir Çiftçi,23,Turkey,Centre-Forward,CF,,Dundee United,Scotland,2089999.9999999998,in,summer,Scottish Premiership,2015,False,
Celtic FC,Dedryck Boyata,24,Belgium,Centre-Back,CB,1000000.0,Man City,England,2000000.0,in,summer,Scottish Premiership,2015,False,
Celtic FC,Ryan Christie,20,Scotland,Attacking Midfield,AM,10000000.0,Inverness CT,Scotland,,in,summer,Scottish Premiership,2015,False,
Celtic FC,Scott Allan,23,Scotland,Attacking Midfield,AM,,Hibernian FC,Scotland,,in,summer,Scottish Premiership,2015,False,
