club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Cracovia,Rivaldinho,25,Brazil,Centre-Forward,CF,,FC Viitorul,Romania,,in,summer,Pko Bp Ekstraklasa,2020,False,
Cracovia,Damir Sadikovic,25,Bosnia-Herzegovina,Central Midfield,CM,,Zeljeznicar,Bosnia-Herzegovina,,in,summer,Pko Bp Ekstraklasa,2020,False,
Cracovia,Matej Rodin,24,Croatia,Centre-Back,CB,,NK Varazdin,Croatia,,in,summer,Pko Bp Ekstraklasa,2020,False,
Cracovia,Marcos Álvarez,28,Germany,Centre-Forward,CF,,VfL Osnabrück,Germany,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Cracovia,Iván Márquez,26,Spain,Centre-Back,CB,,Korona Kielce,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Cracovia,Michael Gardawski,29,Germany,Left Midfield,LM,,Korona Kielce,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Cracovia,Karol Niemczycki,21,Poland,Goalkeeper,GK,,P. Niepolomice,Poland,,in,summer,Pko Bp Ekstraklasa,2020,False,
Cracovia,Michal Helik,25,Poland,Centre-Back,CB,3000000.0,Barnsley FC,England,,out,summer,Pko Bp Ekstraklasa,2020,False,
Cracovia,Rafa Lopes,29,Portugal,Second Striker,SS,,Legia Warszawa,Poland,,out,summer,Pko Bp Ekstraklasa,2020,False,
Cracovia,Szymon Kiebzak,23,Poland,Left Midfield,LM,,GKS Katowice,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Cracovia,Niko Datkovic,27,Croatia,Centre-Back,CB,,Kisvárda,Hungary,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Cracovia,Janusz Gol,34,Poland,Defensive Midfield,DM,,FC Dinamo,Romania,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Cracovia,Michal Zieba,20,Poland,Right-Back,RB,,Stalowa Wola,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Cracovia,Jakub Serafin,24,Poland,Defensive Midfield,DM,,P. Niepolomice,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Cracovia,Jakub Kosecki,30,Poland,Right Winger,RW,,Adana Demirspor,Turkey,0.0,in,winter,Pko Bp Ekstraklasa,2020,False,
Cracovia,Luís Rocha,27,Portugal,Left-Back,LB,,Legia Warszawa,Poland,0.0,in,winter,Pko Bp Ekstraklasa,2020,False,
Cracovia,Marcin Budzinski,30,Poland,Attacking Midfield,AM,,Without Club,,,in,winter,Pko Bp Ekstraklasa,2020,False,
Cracovia,Michal Peskovic,38,Slovakia,Goalkeeper,GK,,Podbeskidzie,Poland,0.0,out,winter,Pko Bp Ekstraklasa,2020,False,
Cracovia,Bojan Cecaric,27,Serbia,Centre-Forward,CF,,Napredak,Serbia,0.0,out,winter,Pko Bp Ekstraklasa,2020,False,
Cracovia,Mateusz Wdowiak,24,Poland,Attacking Midfield,AM,,Rakow,Poland,,out,winter,Pko Bp Ekstraklasa,2020,False,
Górnik Zabrze,Norbert Wojtuszek,18,Poland,Right Midfield,RM,,Pogon Siedlce,Poland,,in,summer,Pko Bp Ekstraklasa,2020,False,
Górnik Zabrze,Alex Sobczyk,23,Austria,Centre-Forward,CF,,Spartak Trnava,Slovakia,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Górnik Zabrze,Bartosz Nowak,26,Poland,Attacking Midfield,AM,,Stal Mielec,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Górnik Zabrze,Stefanos Evangelou,22,Greece,Centre-Back,CB,,Olympiacos,Greece,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Górnik Zabrze,Kacper Michalski,20,Poland,Right Midfield,RM,,GKS Katowice,Poland,,in,summer,Pko Bp Ekstraklasa,2020,False,
Górnik Zabrze,Pawel Bochniewicz,24,Poland,Centre-Back,CB,3000000.0,Heerenveen,Netherlands,1400000.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Górnik Zabrze,Tomasz Loska,24,Poland,Goalkeeper,GK,,Nieciecza,Poland,,out,summer,Pko Bp Ekstraklasa,2020,False,
Górnik Zabrze,Igor Angulo,36,Spain,Centre-Forward,CF,,FC Goa,India,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Górnik Zabrze,Szymon Matuszek,31,Poland,Defensive Midfield,DM,,Miedz Legnica,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Górnik Zabrze,Kamil Zapolnik,27,Poland,Left Winger,LW,,Miedz Legnica,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Górnik Zabrze,Mateusz Matras,29,Poland,Centre-Back,CB,,Stal Mielec,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Górnik Zabrze,Richmond Boakye,28,Ghana,Centre-Forward,CF,,Red Star,Serbia,0.0,in,winter,Pko Bp Ekstraklasa,2020,False,
Górnik Zabrze,Lukasz Wolsztynski,26,Poland,Attacking Midfield,AM,,Arka Gdynia,Poland,0.0,out,winter,Pko Bp Ekstraklasa,2020,False,
Górnik Zabrze,Adam Ryczkowski,23,Poland,Left Winger,LW,,Chojniczanka,Poland,0.0,out,winter,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Kris Twardek,23,Canada,Right Midfield,RM,,Bohemians,Ireland,,in,summer,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Maciej Mas,19,Poland,Centre-Forward,CF,,UKS SMS U19,Poland,,in,summer,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Blazej Augustyn,32,Poland,Centre-Back,CB,,Lechia Gdansk,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Pavels Steinbors,34,Latvia,Goalkeeper,GK,,Arka Gdynia,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Szymon Sobczak,27,Poland,Centre-Forward,CF,,Stomil Olsztyn,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Mateusz Wyjadlowski,20,Poland,Attacking Midfield,AM,,Wisla Krakow II,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Fernán López,25,Spain,Central Midfield,CM,,FK Qabala,Azerbaijan,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Fedor Černych,29,Lithuania,Left Winger,LW,,Dynamo Moscow,Russia,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Bartlomiej Maliszewski,16,Poland,Goalkeeper,GK,,Parma U17,Italy,,out,summer,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Jakub Wojcicki,32,Poland,Centre-Forward,CF,,Zaglebie Lubin,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Martin Adamec,21,Slovakia,Central Midfield,CM,,FC Nitra,Slovakia,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Orest Tkachuk,22,Ukraine,Attacking Midfield,AM,,Olimpia Elblag,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Bojan Nastic,26,Bosnia-Herzegovina,Left-Back,LB,,BATE Borisov,Belarus,,in,winter,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Godfrey Bitok Stephen,20,Nigeria,Left-Back,LB,,Isloch,Belarus,,in,winter,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Myroslav Mazur,22,Ukraine,Centre-Back,CB,,Umeå FC,Sweden,0.0,in,winter,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Kamil Wojtkowski,22,Poland,Attacking Midfield,AM,,Without Club,,,in,winter,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Konrad Wrzesinski,27,Poland,Right Midfield,RM,,Without Club,,,in,winter,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Szymon Sobczak,28,Poland,Centre-Forward,CF,,Z. Sosnowiec,Poland,0.0,out,winter,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Bödvar Bödvarsson,25,Iceland,Left-Back,LB,,Helsingborgs IF,Sweden,0.0,out,winter,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Oleg Gorin,21,Ukraine,Centre-Back,CB,,Without Club,,,out,winter,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Kamil Wojtkowski,23,Poland,Attacking Midfield,AM,,Without Club,,,out,winter,Pko Bp Ekstraklasa,2020,False,
Jagiellonia Bialystok,Andrej Kadlec,25,Slovakia,Right-Back,RB,,Without Club,,,out,winter,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Jan Sykora,26,Czech Republic,Left Winger,LW,1600000.0,Slavia Prague,Czech Republic,,in,summer,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Alan Czerwinski,27,Poland,Right-Back,RB,,Zaglebie Lubin,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Filip Bednarek,27,Poland,Goalkeeper,GK,,Heerenveen,Netherlands,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Mikael Ishak,27,Sweden,Centre-Forward,CF,1800000.0,1.FC Nuremberg,Germany,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Jakub Moder,21,Poland,Central Midfield,CM,10000000.0,Brighton,England,11000000.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Kamil Józwiak,22,Poland,Left Winger,LW,2500000.0,Derby,England,4300000.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Robert Gumny,22,Poland,Right-Back,RB,3500000.0,FC Augsburg,Germany,2000000.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Wiktor Plesnierowicz,19,Poland,Centre-Back,CB,,Miedz Legnica,Poland,,out,summer,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Tomasz Cywka,32,Poland,Defensive Midfield,DM,,Chrobry Glogow,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Karol Szymanski,27,Poland,Goalkeeper,GK,,Piast Gliwice,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Christian Gytkjaer,30,Denmark,Centre-Forward,CF,,Monza,Italy,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Volodymyr Kostevych,27,Ukraine,Left-Back,LB,,Dynamo Kyiv,Ukraine,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Jesper Karlström,25,Sweden,Defensive Midfield,DM,3000000.0,Djurgården,Sweden,,in,winter,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Antonio Milic,26,Croatia,Centre-Back,CB,1500000.0,RSC Anderlecht,Belgium,,in,winter,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Bartosz Salamon,29,Poland,Centre-Back,CB,,SPAL,Italy,0.0,in,winter,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Nika Kvekveskiri,28,Georgia,Defensive Midfield,DM,,Tobol Kostanay,Kazakhstan,0.0,in,winter,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Aron Jóhannsson,30,United States,Centre-Forward,CF,,Hammarby,Sweden,0.0,in,winter,Pko Bp Ekstraklasa,2020,False,
Lech Poznan,Pawel Tomczyk,22,Poland,Centre-Forward,CF,,Widzew Lodz,Poland,,out,winter,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Kristers Tobers,19,Latvia,Centre-Back,CB,,Liepaja,Latvia,,in,summer,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Bartosz Kopacz,28,Poland,Centre-Back,CB,,Zaglebie Lubin,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Lukas Haraslin,24,Slovakia,Left Winger,LW,3000000.0,Sassuolo,Italy,1700000.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Daniel Lukasik,29,Poland,Defensive Midfield,DM,,Ankaragücü,Turkey,,out,summer,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Patryk Lipski,26,Poland,Defensive Midfield,DM,,Piast Gliwice,Poland,,out,summer,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Pawel Zuk,19,Poland,Right-Back,RB,,Wisla Plock,Poland,,out,summer,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Adam Chrzanowski,21,Poland,Centre-Back,CB,,Pordenone,Italy,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Marcel Wszolek,18,Poland,Right-Back,RB,,LKS Lodz,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Blazej Augustyn,32,Poland,Centre-Back,CB,,Jagiellonia,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Filip Mladenovic,28,Serbia,Left-Back,LB,,Legia Warszawa,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Maciej Wozniak,19,Poland,Goalkeeper,GK,,Radunia Stezyca,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Adrian Petk,18,Poland,Mittelfeld,Mittelfeld,,Miedz Legnica,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Mateusz Cegielka,18,Poland,Defensive Midfield,DM,,Chojniczanka,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Mykola Musolitin,21,Ukraine,Right Midfield,RM,,Valmiera,Latvia,0.0,in,winter,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Joseph Ceesay,22,Sweden,Right-Back,RB,,Helsingborgs IF,Sweden,0.0,in,winter,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Jan Bieganski,18,Poland,Defensive Midfield,DM,,GKS Tychy,Poland,0.0,in,winter,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Mateusz Sopocko,21,Poland,Attacking Midfield,AM,,Warta Poznan,Poland,0.0,out,winter,Pko Bp Ekstraklasa,2020,False,
Lechia Gdansk,Jakub Arak,25,Poland,Centre-Forward,CF,,Rakow,Poland,0.0,out,winter,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Josip Juranovic,24,Croatia,Right-Back,RB,12000000.0,Hajduk Split,Croatia,,in,summer,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Rafa Lopes,29,Portugal,Second Striker,SS,,Cracovia,Poland,,in,summer,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Filip Mladenovic,28,Serbia,Left-Back,LB,,Lechia Gdansk,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Artur Boruc,40,Poland,Goalkeeper,GK,,Bournemouth,England,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Bartosz Kapustka,23,Poland,Defensive Midfield,DM,1500000.0,Leicester,England,0.0,in,summer,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Michal Karbownik,19,Poland,Left-Back,LB,4000000.0,Brighton,England,3900000.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Arvydas Novikovas,29,Lithuania,Right Winger,RW,,BB Erzurumspor,Turkey,,out,summer,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Mateusz Zyro,21,Poland,Centre-Back,CB,,Stal Mielec,Poland,,out,summer,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Mateusz Praszelik,19,Poland,Attacking Midfield,AM,,Slask Wroclaw,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Salvador Agra,28,Portugal,Right Winger,RW,,Tondela,Portugal,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Piotr Pyrdol,21,Poland,Attacking Midfield,AM,,Wisla Plock,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Ivan Obradovic,32,Serbia,Left-Back,LB,,Partizan,Serbia,0.0,out,summer,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Dominik Nagy,25,Hungary,Left Winger,LW,,Without Club,,,out,summer,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Ernest Muci,19,Albania,Attacking Midfield,AM,5000000.0,KF Tirana,Albania,,in,winter,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Jasur Yakhshiboev,23,Uzbekistan,Right Winger,RW,,Pakhtakor,Uzbekistan,,in,winter,Pko Bp Ekstraklasa,2020,False,
Legia Warszawa,Vamara Sanogo,25,France,Centre-Forward,CF,,Dinamo Batumi,Georgia,0.0,out,winter,Pko Bp Ekstraklasa,2020,False,
