club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Austria Vienna,Ammar Helac,22,Austria,Goalkeeper,GK,,Blau Weiss Linz,Austria,,in,summer,Bundesliga,2020,False,
Austria Vienna,Markus Suttner,33,Austria,Left-Back,LB,,F. Düsseldorf,Germany,0.0,in,summer,Bundesliga,2020,False,
Austria Vienna,Georg Teigl,29,Austria,Right-Back,RB,,FC Augsburg,Germany,0.0,in,summer,Bundesliga,2020,False,
Austria Vienna,Christoph Schösswendter,32,Austria,Centre-Back,CB,,Without Club,,,in,summer,Bundesliga,2020,False,
Austria Vienna,Alexandar Borkovic,21,Austria,Centre-Back,CB,1000000.0,Hoffenheim II,Germany,,out,summer,Bundesliga,2020,False,
Austria Vienna,James Jeggo,28,Australia,Defensive Midfield,DM,,Aris Saloniki,Greece,0.0,out,summer,Bundesliga,2020,False,
Austria Vienna,Caner Cavlan,28,Turkey,Left-Back,LB,,FC Emmen,Netherlands,,out,summer,Bundesliga,2020,False,
Austria Vienna,Ivan Lucic,25,Austria,Goalkeeper,GK,,Without Club,,,out,summer,Bundesliga,2020,False,
Austria Vienna,Florian Klein,33,Austria,Right-Back,RB,,Without Club,,,out,summer,Bundesliga,2020,False,
Austria Vienna,Dominik Prokop,23,Austria,Left Midfield,LM,,Without Club,,,out,summer,Bundesliga,2020,False,
Austria Vienna,Agim Zeka,22,Albania,Right Winger,RW,,Mouscron,Belgium,0.0,in,winter,Bundesliga,2020,False,
Austria Vienna,Marco Djuricin,28,Austria,Centre-Forward,CF,,Karlsruher SC,Germany,0.0,in,winter,Bundesliga,2020,False,
Austria Vienna,Alon Turgeman,29,Israel,Centre-Forward,CF,,Hapoel Haifa,Israel,,out,winter,Bundesliga,2020,False,
FC Admira Wacker Mödling,Osman Hadzikic,24,Austria,Goalkeeper,GK,,FC Zürich,Switzerland,0.0,in,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Tomislav Tomic,29,Bosnia-Herzegovina,Defensive Midfield,DM,,NK Olimpija,Slovenia,0.0,in,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Lukas Rath,28,Austria,Centre-Back,CB,,SV Mattersburg,Austria,0.0,in,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Stefan Maierhofer,37,Austria,Centre-Forward,CF,,WSG Tirol,Austria,0.0,in,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Stephan Auer,29,Austria,Right-Back,RB,,Rapid Vienna,Austria,0.0,in,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Felix Kekoh,19,Cameroon,Right Midfield,RM,,Gambinos Stars,The Gambia,0.0,in,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Leonardo Lukacevic,21,Austria,Left-Back,LB,,Grödig,Austria,,in,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Phoenix Missi,21,Cameroon,Centre-Back,CB,,Gambinos Stars,The Gambia,,in,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Josef Ganda,23,Israel,Right Midfield,RM,,FC Augsburg II,Germany,,in,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Sinan Bakış,26,Turkey,Centre-Forward,CF,2000000.0,Heracles Almelo,Netherlands,,out,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Jonathan Scherzer,25,Austria,Left-Back,LB,,Wolfsberger AC,Austria,0.0,out,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Fabio Strauss,26,Austria,Centre-Back,CB,,Blau Weiss Linz,Austria,0.0,out,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Daniel Toth,33,Austria,Central Midfield,CM,,SV Stripfing,Austria,0.0,out,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Fabian Menig,26,Germany,Centre-Back,CB,,Hallescher FC,Germany,0.0,out,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Kolja Pusch,27,Germany,Attacking Midfield,AM,,KFC Uerdingen,Germany,0.0,out,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Markus Pink,29,Austria,Centre-Forward,CF,,A. Klagenfurt,Austria,0.0,out,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Seth Paintsil,24,Ghana,Left Winger,LW,,SV Ried,Austria,0.0,out,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Muhammed Cham,20,Austria,Attacking Midfield,AM,6000000.0,Clermont Foot,France,,out,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Bjarne Thoelke,28,Germany,Centre-Back,CB,,Without Club,,,out,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Christoph Schösswendter,32,Austria,Centre-Back,CB,,Without Club,,,out,summer,Bundesliga,2020,False,
FC Admira Wacker Mödling,Niko Datkovic,27,Croatia,Centre-Back,CB,,Kisvárda,Hungary,,in,winter,Bundesliga,2020,False,
FC Admira Wacker Mödling,Andrew Wooten,31,United States,Centre-Forward,CF,,Philadelphia,United States,0.0,in,winter,Bundesliga,2020,False,
FC Admira Wacker Mödling,Matthias Ostrzolek,30,Germany,Left-Back,LB,,Without Club,,,in,winter,Bundesliga,2020,False,
FC Admira Wacker Mödling,Morten Hjulmand,21,Denmark,Defensive Midfield,DM,24000000.0,Lecce,Italy,2500000.0,out,winter,Bundesliga,2020,False,
FC Admira Wacker Mödling,Stefan Maierhofer,38,Austria,Centre-Forward,CF,,Würzb. Kickers,Germany,0.0,out,winter,Bundesliga,2020,False,
LASK,Mads Emil Madsen,22,Denmark,Central Midfield,CM,1000000.0,Silkeborg IF,Denmark,1000000.0,in,summer,Bundesliga,2020,False,
LASK,Yevgen Cheberko,22,Ukraine,Centre-Back,CB,1000000.0,Zorya Lugansk,Ukraine,,in,summer,Bundesliga,2020,False,
LASK,Mamoudou Karamoko,21,France,Centre-Forward,CF,,Wolfsburg II,Germany,,in,summer,Bundesliga,2020,False,
LASK,Nikolas Polster,18,Austria,Goalkeeper,GK,,Rapid Wien II,Austria,0.0,in,summer,Bundesliga,2020,False,
LASK,Lukas Grgic,24,Austria,Defensive Midfield,DM,1200000.0,WSG Tirol,Austria,0.0,in,summer,Bundesliga,2020,False,
LASK,Tobias Anselm,20,Austria,Centre-Forward,CF,,FC Liefering,Austria,0.0,in,summer,Bundesliga,2020,False,
LASK,Andreas Gruber,25,Austria,Right Winger,RW,1200000.0,SV Mattersburg,Austria,0.0,in,summer,Bundesliga,2020,False,
LASK,Yoav Hofmayster,19,Israel,Defensive Midfield,DM,,Ramat haSharon,Israel,,in,summer,Bundesliga,2020,False,
LASK,Alexander Schmidt,22,Austria,Centre-Forward,CF,,FC Liefering,Austria,,in,summer,Bundesliga,2020,False,
LASK,Fredy Valencia,19,Colombia,Defensive Midfield,DM,,CBJ Cali,Colombia,,in,summer,Bundesliga,2020,False,
LASK,Dominik Frieser,26,Austria,Right Winger,RW,,Barnsley FC,England,,out,summer,Bundesliga,2020,False,
LASK,Reuben Acquah,23,Ghana,Defensive Midfield,DM,,NK Lokomotiva,Croatia,0.0,out,summer,Bundesliga,2020,False,
LASK,Markus Wostry,28,Austria,Centre-Back,CB,,FC Wacker,Austria,0.0,out,summer,Bundesliga,2020,False,
LASK,Felix Luckeneder,26,Austria,Centre-Back,CB,,TSV Hartberg,Austria,,out,summer,Bundesliga,2020,False,
LASK,Metehan Altunbaş,18,Turkey,Centre-Forward,CF,,Eskisehirspor,Turkey,,in,winter,Bundesliga,2020,False,
LASK,Adam Griger,16,Slovakia,Centre-Forward,CF,,Michalovce,Slovakia,,in,winter,Bundesliga,2020,False,
LASK,Matías Succar,21,Peru,Centre-Forward,CF,,Dep. Municipal,Peru,0.0,in,winter,Bundesliga,2020,False,
LASK,Stefan Haudum,26,Austria,Defensive Midfield,DM,,SCR Altach,Austria,,out,winter,Bundesliga,2020,False,
Rapid Vienna,Bernhard Unger,21,Austria,Goalkeeper,GK,,Mattersburg II,Austria,0.0,in,summer,Bundesliga,2020,False,
Rapid Vienna,Thomas Murg,25,Austria,Right Winger,RW,1000000.0,PAOK Salonika,Greece,2000000.0,out,summer,Bundesliga,2020,False,
Rapid Vienna,Andrija Pavlovic,26,Serbia,Centre-Forward,CF,,Bröndby IF,Denmark,,out,summer,Bundesliga,2020,False,
Rapid Vienna,Stefan Schwab,29,Austria,Central Midfield,CM,1000000.0,PAOK Salonika,Greece,0.0,out,summer,Bundesliga,2020,False,
Rapid Vienna,Stephan Auer,29,Austria,Right-Back,RB,,Admira Wacker,Austria,0.0,out,summer,Bundesliga,2020,False,
Rapid Vienna,Tobias Knoflach,26,Austria,Goalkeeper,GK,,Without Club,,,out,summer,Bundesliga,2020,False,
Rapid Vienna,Melih Ibrahimoglu,20,Turkey,Attacking Midfield,AM,,Heracles Almelo,Netherlands,,out,winter,Bundesliga,2020,False,
Rapid Vienna,Tamás Szántó,25,Hungary,Attacking Midfield,AM,,,,,out,winter,Bundesliga,2020,False,
Red Bull Salzburg,Oumar Solet,20,France,Centre-Back,CB,17000000.0,Olympique Lyon,France,4500000.0,in,summer,Bundesliga,2020,False,
Red Bull Salzburg,Samson Tijani,18,Nigeria,Defensive Midfield,DM,,Collins Edwin,Nigeria,1000000.0,in,summer,Bundesliga,2020,False,
Red Bull Salzburg,Mamadou Sangaré,18,Mali,Attacking Midfield,AM,,Yeelen,Mali,,in,summer,Bundesliga,2020,False,
Red Bull Salzburg,Hee-chan Hwang,24,"Korea, South",Centre-Forward,CF,18000000.0,RB Leipzig,Germany,12000000.0,out,summer,Bundesliga,2020,False,
Red Bull Salzburg,Smail Prevljak,25,Bosnia-Herzegovina,Centre-Forward,CF,1200000.0,KAS Eupen,Belgium,2000000.0,out,summer,Bundesliga,2020,False,
Red Bull Salzburg,Luca Meisl,21,Austria,Centre-Back,CB,,SV Ried,Austria,,out,summer,Bundesliga,2020,False,
Red Bull Salzburg,Brenden Aaronson,20,United States,Attacking Midfield,AM,18000000.0,Philadelphia,United States,12700000.0,in,winter,Bundesliga,2020,False,
Red Bull Salzburg,Nico Mantl,20,Germany,Goalkeeper,GK,1000000.0,Unterhaching,Germany,2000000.0,in,winter,Bundesliga,2020,False,
Red Bull Salzburg,Mamady Diambou,18,Mali,Defensive Midfield,DM,1000000.0,Guidars FC,Mali,,in,winter,Bundesliga,2020,False,
Red Bull Salzburg,Dorgeles Nene,18,Mali,Centre-Forward,CF,3500000.0,Guidars FC,Mali,,in,winter,Bundesliga,2020,False,
Red Bull Salzburg,Daouda Guindo,18,Mali,Left-Back,LB,1200000.0,Guidars FC,Mali,,in,winter,Bundesliga,2020,False,
Red Bull Salzburg,Lucho Vásquez,18,Colombia,Centre-Back,CB,,AAF Popayán,Colombia,,in,winter,Bundesliga,2020,False,
Red Bull Salzburg,Amankwah Forson,18,Ghana,Attacking Midfield,AM,6000000.0,WAFA SC,Ghana,,in,winter,Bundesliga,2020,False,
Red Bull Salzburg,Daniel Owusu,18,Ghana,Right Winger,RW,,WAFA SC,Ghana,,in,winter,Bundesliga,2020,False,
