club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,normalized_name
1.FC Köln,Luca Kilian,22.0,Germany,Centre-Back,CB,2500000.0,1.FSV Mainz 05,Germany,2000000.0,in,summer,1 Bundesliga,2022,False,,luca kilian
1.FC Köln,Sargis Adamyan,29.0,Armenia,Centre-Forward,CF,1000000.0,TSG Hoffenheim,Germany,1500000.0,in,summer,1 Bundesliga,2022,False,,sargis adamyan
1.FC Köln,Steffen Tigges,23.0,Germany,Centre-Forward,CF,2500000.0,Bor. Dortmund,Germany,1500000.0,in,summer,1 Bundesliga,2022,False,,steffen tigges
1.FC Köln,Eric Martel,20.0,Germany,Defensive Midfield,DM,9000000.0,RB Leipzig,Germany,1200000.0,in,summer,1 Bundesliga,2022,False,,eric martel
1.FC Union Berlin,Jordan,26.0,United States,Centre-Forward,CF,6000000.0,BSC Young Boys,Switzerland,6000000.0,in,summer,1 Bundesliga,2022,False,,jordan
1.FC Union Berlin,Jamie Leweling,21.0,Germany,Right Winger,RW,3000000.0,Greuther Fürth,Germany,4000000.0,in,summer,1 Bundesliga,2022,False,,jamie leweling
1.FC Union Berlin,Morten Thorsby,26.0,Norway,Central Midfield,CM,4000000.0,Sampdoria,Italy,3000000.0,in,summer,1 Bundesliga,2022,False,,morten thorsby
1.FC Union Berlin,Josip Juranovic,27.0,Croatia,Right-Back,RB,12000000.0,Celtic,Scotland,8550000.0,in,winter,1 Bundesliga,2022,False,,josip juranovic
1.FC Union Berlin,Aïssa Laïdouni,26.0,Tunisia,Central Midfield,CM,10000000.0,Ferencváros,Hungary,2600000.0,in,winter,1 Bundesliga,2022,False,,aissa laidouni
1.FSV Mainz 05,Angelo Fulgini,25.0,France,Attacking Midfield,AM,9000000.0,Angers SCO,France,6000000.0,in,summer,1 Bundesliga,2022,False,,angelo fulgini
1.FSV Mainz 05,Maxim Leitsch,24.0,Germany,Centre-Back,CB,2000000.0,VfL Bochum,Germany,3500000.0,in,summer,1 Bundesliga,2022,False,,maxim leitsch
1.FSV Mainz 05,Marcus Ingvartsen,26.0,Denmark,Centre-Forward,CF,5500000.0,Union Berlin,Germany,2300000.0,in,summer,1 Bundesliga,2022,False,,marcus ingvartsen
