club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
1.FC Köln,Luca Kilian,22.0,Germany,Centre-Back,CB,2500000.0,1.FSV Mainz 05,Germany,2000000.0,in,summer,1 Bundesliga,2022,False,
1.FC Köln,Sargis Adamyan,29.0,Armenia,Centre-Forward,CF,1000000.0,TSG Hoffenheim,Germany,1500000.0,in,summer,1 Bundesliga,2022,False,
1.FC Köln,Steffen Tigges,23.0,Germany,Centre-Forward,CF,2500000.0,Bor. Dortmund,Germany,1500000.0,in,summer,1 Bundesliga,2022,False,
1.FC Köln,Eric Martel,20.0,Germany,Defensive Midfield,DM,9000000.0,RB Leipzig,Germany,1200000.0,in,summer,1 Bundesliga,2022,False,
1.FC Union Berlin,Jordan,26.0,United States,Centre-Forward,CF,6000000.0,BSC Young Boys,Switzerland,6000000.0,in,summer,1 Bundesliga,2022,False,
1.FC Union Berlin,Jamie Leweling,21.0,Germany,Right Winger,RW,3000000.0,Greuther Fürth,Germany,4000000.0,in,summer,1 Bundesliga,2022,False,
1.FC Union Berlin,Morten Thorsby,26.0,Norway,Central Midfield,CM,4000000.0,Sampdoria,Italy,3000000.0,in,summer,1 Bundesliga,2022,False,
1.FC Union Berlin,Josip Juranovic,27.0,Croatia,Right-Back,RB,12000000.0,Celtic,Scotland,8550000.0,in,winter,1 Bundesliga,2022,False,
1.FC Union Berlin,Aïssa Laïdouni,26.0,Tunisia,Central Midfield,CM,10000000.0,Ferencváros,Hungary,2600000.0,in,winter,1 Bundesliga,2022,False,
1.FSV Mainz 05,Angelo Fulgini,25.0,France,Attacking Midfield,AM,9000000.0,Angers SCO,France,6000000.0,in,summer,1 Bundesliga,2022,False,
1.FSV Mainz 05,Maxim Leitsch,24.0,Germany,Centre-Back,CB,2000000.0,VfL Bochum,Germany,3500000.0,in,summer,1 Bundesliga,2022,False,
1.FSV Mainz 05,Marcus Ingvartsen,26.0,Denmark,Centre-Forward,CF,5500000.0,Union Berlin,Germany,2300000.0,in,summer,1 Bundesliga,2022,False,
1.FSV Mainz 05,Delano Burgzorg,23.0,Netherlands,Left Winger,LW,1800000.0,Heracles Almelo,Netherlands,2000000.0,in,summer,1 Bundesliga,2022,False,
1.FSV Mainz 05,Dominik Kohr,28.0,Germany,Defensive Midfield,DM,3500000.0,E. Frankfurt,Germany,1500000.0,in,summer,1 Bundesliga,2022,False,
1.FSV Mainz 05,Ludovic Ajorque,28.0,Réunion,Centre-Forward,CF,9000000.0,R. Strasbourg,France,6000000.0,in,winter,1 Bundesliga,2022,False,
1.FSV Mainz 05,Andreas Hanche-Olsen,25.0,Norway,Centre-Back,CB,7500000.0,KAA Gent,Belgium,2500000.0,in,winter,1 Bundesliga,2022,False,
Bayer 04 Leverkusen,Adam Hlozek,19.0,Czech Republic,Centre-Forward,CF,18000000.0,Sparta Prague,Czech Republic,13000000.0,in,summer,1 Bundesliga,2022,False,
Bayer 04 Leverkusen,Gustavo Puerta,19.0,Colombia,Central Midfield,CM,1500000.0,Bogotá FC,Colombia,2000000.0,in,winter,1 Bundesliga,2022,False,
Bayern Munich,Matthijs de Ligt,22.0,Netherlands,Centre-Back,CB,70000000.0,Juventus,Italy,67000000.0,in,summer,1 Bundesliga,2022,False,
Bayern Munich,Sadio Mané,30.0,Senegal,Left Winger,LW,25000000.0,Liverpool,England,32000000.0,in,summer,1 Bundesliga,2022,False,
Bayern Munich,Mathys Tel,17.0,France,Centre-Forward,CF,50000000.0,Stade Rennais,France,20000000.0,in,summer,1 Bundesliga,2022,False,
Bayern Munich,Ryan Gravenberch,20.0,Netherlands,Central Midfield,CM,35000000.0,Ajax,Netherlands,18500000.0,in,summer,1 Bundesliga,2022,False,
Bayern Munich,Yann Sommer,34.0,Switzerland,Goalkeeper,GK,5000000.0,Bor. M'gladbach,Germany,9000000.0,in,winter,1 Bundesliga,2022,False,
Borussia Dortmund,Sébastien Haller,28.0,Cote d'Ivoire,Centre-Forward,CF,25000000.0,Ajax,Netherlands,31000000.0,in,summer,1 Bundesliga,2022,False,
Borussia Dortmund,Karim Adeyemi,20.0,Germany,Left Winger,LW,35000000.0,RB Salzburg,Austria,30000000.0,in,summer,1 Bundesliga,2022,False,
Borussia Dortmund,Nico Schlotterbeck,22.0,Germany,Centre-Back,CB,40000000.0,SC Freiburg,Germany,20000000.0,in,summer,1 Bundesliga,2022,False,
Borussia Dortmund,Anthony Modeste,34.0,France,Centre-Forward,CF,,1.FC Köln,Germany,5100000.0,in,summer,1 Bundesliga,2022,False,
Borussia Dortmund,Salih Özcan,24.0,Turkey,Defensive Midfield,DM,13000000.0,1.FC Köln,Germany,5000000.0,in,summer,1 Bundesliga,2022,False,
Borussia Dortmund,Julien Duranville,16.0,Belgium,Right Winger,RW,8500000.0,RSC Anderlecht,Belgium,8500000.0,in,winter,1 Bundesliga,2022,False,
Borussia Dortmund,Julian Ryerson,25.0,Norway,Right-Back,RB,15000000.0,Union Berlin,Germany,5000000.0,in,winter,1 Bundesliga,2022,False,
