club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Aberdeen FC,Bojan Miovski,23,North Macedonia,Centre-Forward,CF,1200000.0,MTK Budapest,Hungary,,in,summer,Scottish Premiership,2022,False,
Aberdeen FC,Duk,22,Cape Verde,Centre-Forward,CF,1800000.0,Benfica B,Portugal,,in,summer,Scottish Premiership,2022,False,
Aberdeen FC,Jayden Richardson,21,England,Right-Back,RB,,Nottingham U21,England,,in,summer,Scottish Premiership,2022,False,
Aberdeen FC,Ylber Ramadani,26,Albania,Defensive Midfield,DM,1800000.0,MTK Budapest,Hungary,,in,summer,Scottish Premiership,2022,False,
Aberdeen FC,Callum Roberts,25,England,Right Winger,RW,,Notts County,England,,in,summer,Scottish Premiership,2022,False,
Aberdeen FC,Kelle Roos,30,Netherlands,Goalkeeper,GK,,Derby,England,0.0,in,summer,Scottish Premiership,2022,False,
Aberdeen FC,Anthony Stewart,29,England,Centre-Back,CB,,Wycombe,England,0.0,in,summer,Scottish Premiership,2022,False,
Aberdeen FC,Shayden Morris,20,England,Right Winger,RW,,Fleetwood,England,,in,summer,Scottish Premiership,2022,False,
Aberdeen FC,Calvin Ramsay,18,Scotland,Right-Back,RB,5000000.0,Liverpool,England,4900000.0,out,summer,Scottish Premiership,2022,False,
Aberdeen FC,Lewis Ferguson,22,Scotland,Attacking Midfield,AM,12000000.0,Bologna,Italy,2000000.0,out,summer,Scottish Premiership,2022,False,
Aberdeen FC,Funso Ojo,30,Belgium,Central Midfield,CM,,Port Vale,England,0.0,out,summer,Scottish Premiership,2022,False,
Aberdeen FC,Mikey Devlin,28,Scotland,Centre-Back,CB,,Fleetwood,England,0.0,out,summer,Scottish Premiership,2022,False,
Aberdeen FC,Declan Gallagher,31,Scotland,Centre-Back,CB,,St. Mirren,Scotland,0.0,out,summer,Scottish Premiership,2022,False,
Aberdeen FC,Gary Woods,31,England,Goalkeeper,GK,,Kilmarnock FC,Scotland,0.0,out,summer,Scottish Premiership,2022,False,
Aberdeen FC,Michael Ruth,20,Scotland,Centre-Forward,CF,,Queen o. t. S.,Scotland,0.0,out,summer,Scottish Premiership,2022,False,
Aberdeen FC,Andy Considine,35,Scotland,Centre-Back,CB,,St. Johnstone,Scotland,0.0,out,summer,Scottish Premiership,2022,False,
Aberdeen FC,David Bates,25,Scotland,Centre-Back,CB,,KV Mechelen,Belgium,,out,summer,Scottish Premiership,2022,False,
Aberdeen FC,Dylan McGeouch,29,Scotland,Central Midfield,CM,,Without Club,,,out,summer,Scottish Premiership,2022,False,
Aberdeen FC,Angus MacDonald,30,England,Centre-Back,CB,,Swindon Town,England,0.0,in,winter,Scottish Premiership,2022,False,
Aberdeen FC,Aaron Reid,18,Scotland,Centre-Forward,CF,,Turriff United,Scotland,,in,winter,Scottish Premiership,2022,False,
Aberdeen FC,Christian Ramirez,31,United States,Centre-Forward,CF,,Columbus,United States,,out,winter,Scottish Premiership,2022,False,
Celtic FC,Jota,23,Portugal,Left Winger,LW,11000000.0,Benfica,Portugal,16200000.0,in,summer,Scottish Premiership,2022,False,
Celtic FC,Cameron Carter-Vickers,24,United States,Centre-Back,CB,13000000.0,Tottenham,England,7000000.0,in,summer,Scottish Premiership,2022,False,
Celtic FC,Alexandro Bernabéi,21,Argentina,Left-Back,LB,2500000.0,Lanús,Argentina,4350000.0,in,summer,Scottish Premiership,2022,False,
Celtic FC,Sead Hakšabanović,23,Montenegro,Left Winger,LW,4000000.0,Rubin Kazan,Russia,2500000.0,in,summer,Scottish Premiership,2022,False,
Celtic FC,Daizen Maeda,24,Japan,Left Winger,LW,6000000.0,Yokohama F. M.,Japan,1530000.0,in,summer,Scottish Premiership,2022,False,
Celtic FC,Aaron Mooy,31,Australia,Central Midfield,CM,,SH Port,China,0.0,in,summer,Scottish Premiership,2022,False,
Celtic FC,Benjamin Siegrist,30,Switzerland,Goalkeeper,GK,,Dundee United,Scotland,0.0,in,summer,Scottish Premiership,2022,False,
Celtic FC,Christopher Jullien,29,France,Centre-Back,CB,3500000.0,Montpellier,France,1000000.0,out,summer,Scottish Premiership,2022,False,
Celtic FC,Jonathan Afolabi,22,Ireland,Centre-Forward,CF,,Bohemians,Ireland,0.0,out,summer,Scottish Premiership,2022,False,
Celtic FC,Karamoko Dembélé,19,England,Right Winger,RW,,Stade Brestois,France,0.0,out,summer,Scottish Premiership,2022,False,
Celtic FC,Kerr McInroy,21,Scotland,Defensive Midfield,DM,,Kilmarnock FC,Scotland,0.0,out,summer,Scottish Premiership,2022,False,
Celtic FC,Luca Connell,21,Ireland,Defensive Midfield,DM,,Barnsley FC,England,0.0,out,summer,Scottish Premiership,2022,False,
Celtic FC,Nir Bitton,30,Israel,Centre-Back,CB,,M. Tel Aviv,Israel,0.0,out,summer,Scottish Premiership,2022,False,
Celtic FC,Ewan Henderson,22,Scotland,Attacking Midfield,AM,,Hibernian FC,Scotland,0.0,out,summer,Scottish Premiership,2022,False,
Celtic FC,Ross Doohan,24,Scotland,Goalkeeper,GK,,Tranmere Rovers,England,,out,summer,Scottish Premiership,2022,False,
Celtic FC,Boli Bolingoli,27,Belgium,Left-Back,LB,,KV Mechelen,Belgium,,out,summer,Scottish Premiership,2022,False,
Celtic FC,Tom Rogic,29,Australia,Attacking Midfield,AM,,Without Club,,,out,summer,Scottish Premiership,2022,False,
Celtic FC,Alistair Johnston,24,Canada,Right-Back,RB,7000000.0,Montréal,United States,3500000.0,in,winter,Scottish Premiership,2022,False,
Celtic FC,Hyeon-gyu Oh,21,"Korea, South",Centre-Forward,CF,1800000.0,Suwon Bluewings,"Korea, South",2800000.0,in,winter,Scottish Premiership,2022,False,
Celtic FC,Yuki Kobayashi,22,Japan,Centre-Back,CB,,Vissel Kobe,Japan,,in,winter,Scottish Premiership,2022,False,
Celtic FC,Josip Juranovic,27,Croatia,Right-Back,RB,12000000.0,Union Berlin,Germany,8550000.0,out,winter,Scottish Premiership,2022,False,
Celtic FC,Georgios Giakoumakis,28,Greece,Centre-Forward,CF,5000000.0,Atlanta,United States,4000000.0,out,winter,Scottish Premiership,2022,False,
Celtic FC,Scott Robertson,21,Scotland,Central Midfield,CM,,Fleetwood,England,0.0,out,winter,Scottish Premiership,2022,False,
Dundee United FC,Dylan Levitt,21,Wales,Central Midfield,CM,,Man Utd U21,England,,in,summer,Scottish Premiership,2022,False,
Dundee United FC,Steven Fletcher,35,Scotland,Centre-Forward,CF,,Stoke City,England,0.0,in,summer,Scottish Premiership,2022,False,
Dundee United FC,Sadat Anaku,21,Uganda,Centre-Forward,CF,,Kampala CC,Uganda,0.0,in,summer,Scottish Premiership,2022,False,
Dundee United FC,Craig Sibbald,27,Scotland,Left Winger,LW,,Livingston FC,Scotland,0.0,in,summer,Scottish Premiership,2022,False,
