club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Austria Vienna,Kevin Friesenbichler,23,Austria,Centre-Forward,CF,,Benfica B,Portugal,,in,summer,Bundesliga,2017,False,
Austria Vienna,Christoph Monschein,24,Austria,Centre-Forward,CF,,Admira Wacker,Austria,,in,summer,Bundesliga,2017,False,
Austria Vienna,Florian Klein,30,Austria,Right-Back,RB,,VfB Stuttgart,Germany,0.0,in,summer,Bundesliga,2017,False,
Austria Vienna,Heiko Westermann,33,Germany,Centre-Back,CB,,Ajax,Netherlands,0.0,in,summer,Bundesliga,2017,False,
Austria Vienna,Vesel Demaku,17,Austria,Defensive Midfield,DM,,AKA Salzb. U18,Austria,,in,summer,Bundesliga,2017,False,
Austria Vienna,Olarenwaju Kayode,24,Nigeria,Centre-Forward,CF,1000000.0,Man City,England,3800000.0,out,summer,Bundesliga,2017,False,
Austria Vienna,Petar Filipovic,26,Germany,Centre-Back,CB,,Konyaspor,Turkey,1250000.0,out,summer,Bundesliga,2017,False,
Austria Vienna,Jens Stryger Larsen,26,Denmark,Right-Back,RB,1600000.0,Udinese Calcio,Italy,,out,summer,Bundesliga,2017,False,
Austria Vienna,Tino Casali,21,Austria,Goalkeeper,GK,,SV Mattersburg,Austria,0.0,out,summer,Bundesliga,2017,False,
Austria Vienna,Marko Kvasina,20,Austria,Centre-Forward,CF,,Twente FC,Netherlands,0.0,out,summer,Bundesliga,2017,False,
Austria Vienna,Ognjen Vukojevic,33,Croatia,Defensive Midfield,DM,,,,,out,summer,Bundesliga,2017,False,
Austria Vienna,Lukas Rotpuller,26,Austria,Centre-Back,CB,,Without Club,,,out,summer,Bundesliga,2017,False,
Austria Vienna,Michael Madl,29,Austria,Centre-Back,CB,,Fulham,England,,in,winter,Bundesliga,2017,False,
Austria Vienna,Ismael Tajouri-Shradi,23,Libya,Right Winger,RW,,New York City,United States,,out,winter,Bundesliga,2017,False,
Austria Vienna,Heiko Westermann,34,Germany,Centre-Back,CB,,,,,out,winter,Bundesliga,2017,False,
FC Admira Wacker Mödling,Marcel Holzmann,26,Austria,Left-Back,LB,,SKN St. Pölten,Austria,0.0,in,summer,Bundesliga,2017,False,
FC Admira Wacker Mödling,Marin Jakolis,20,Croatia,Left Winger,LW,,KSV Roeselare,Belgium,0.0,in,summer,Bundesliga,2017,False,
FC Admira Wacker Mödling,Macky Bagnack,22,Cameroon,Centre-Back,CB,,Real Zaragoza,Spain,0.0,in,summer,Bundesliga,2017,False,
FC Admira Wacker Mödling,Christoph Monschein,24,Austria,Centre-Forward,CF,,Austria Vienna,Austria,,out,summer,Bundesliga,2017,False,
FC Admira Wacker Mödling,Dzon Delarge,27,Congo,Right Winger,RW,,Bursaspor,Turkey,,out,summer,Bundesliga,2017,False,
FC Admira Wacker Mödling,Nico Löffler,19,Austria,Attacking Midfield,AM,,VfB Lübeck,Germany,0.0,out,summer,Bundesliga,2017,False,
FC Admira Wacker Mödling,Toni Vastic,24,Austria,Centre-Forward,CF,,A. Vienna Res.,Austria,0.0,out,summer,Bundesliga,2017,False,
FC Admira Wacker Mödling,Markus Pavic,22,Austria,Left-Back,LB,,NK Rudes,Croatia,0.0,out,summer,Bundesliga,2017,False,
FC Admira Wacker Mödling,Ilter Ayyildiz,25,Austria,Left Winger,LW,,Amed SK,Turkey,0.0,out,summer,Bundesliga,2017,False,
FC Admira Wacker Mödling,Srdjan Spiridonovic,23,Austria,Left Winger,LW,,Panionios,Greece,0.0,out,summer,Bundesliga,2017,False,
FC Admira Wacker Mödling,Mustafa Yavuz,23,Austria,Centre-Back,CB,,Wiener Neustadt,Austria,,out,summer,Bundesliga,2017,False,
FC Admira Wacker Mödling,Patrick Wessely,23,Austria,Left-Back,LB,,Without Club,,,out,summer,Bundesliga,2017,False,
FC Admira Wacker Mödling,Eldis Bajrami,24,Austria,Right Midfield,RM,,Without Club,,,out,summer,Bundesliga,2017,False,
FC Admira Wacker Mödling,Alexander Merkel,25,Kazakhstan,Central Midfield,CM,,VfL Bochum,Germany,0.0,in,winter,Bundesliga,2017,False,
FC Admira Wacker Mödling,Jonathan Scherzer,22,Austria,Left-Back,LB,,FC Augsburg II,Germany,,in,winter,Bundesliga,2017,False,
FC Admira Wacker Mödling,Christoph Knasmüllner,25,Austria,Central Midfield,CM,,Barnsley FC,England,,out,winter,Bundesliga,2017,False,
LASK,Emanuel Pogatetz,34,Austria,Centre-Back,CB,,Union Berlin,Germany,0.0,in,summer,Bundesliga,2017,False,
LASK,Thomas Goiginger,24,Austria,Right Winger,RW,,Blau Weiss Linz,Austria,0.0,in,summer,Bundesliga,2017,False,
LASK,Gernot Trauner,25,Austria,Centre-Back,CB,5000000.0,SV Ried,Austria,0.0,in,summer,Bundesliga,2017,False,
LASK,Alexander Schlager,21,Austria,Goalkeeper,GK,2000000.0,FC Liefering,Austria,0.0,in,summer,Bundesliga,2017,False,
LASK,James Holland,28,Australia,Defensive Midfield,DM,,Liaoning FC,China,0.0,in,summer,Bundesliga,2017,False,
LASK,Victor Sá,23,Brazil,Left Winger,LW,1800000.0,SV Kapfenberg,Austria,0.0,in,summer,Bundesliga,2017,False,
LASK,Bruno,23,Brazil,Left Winger,LW,,A. Lustenau,Austria,,in,summer,Bundesliga,2017,False,
LASK,Paulo Otávio,22,Brazil,Left-Back,LB,3500000.0,FC Ingolstadt,Germany,1350000.0,out,summer,Bundesliga,2017,False,
LASK,Nikola Dovedan,22,Austria,Second Striker,SS,,SCR Altach,Austria,,out,summer,Bundesliga,2017,False,
LASK,Stefan Hager,22,Austria,Centre-Back,CB,,Wiener Neustadt,Austria,0.0,out,summer,Bundesliga,2017,False,
LASK,Fabian Miesenböck,23,Austria,Left Midfield,LM,,Wiener Neustadt,Austria,0.0,out,summer,Bundesliga,2017,False,
LASK,Manuel Kerhe,30,Austria,Right-Back,RB,,SV Ried,Austria,0.0,out,summer,Bundesliga,2017,False,
LASK,Maximilian Penz,23,Austria,Goalkeeper,GK,,SpVgg Neckarelz,Germany,0.0,out,summer,Bundesliga,2017,False,
LASK,Tomas Malec,24,Slovakia,Centre-Forward,CF,,Dunajska Streda,Slovakia,,out,summer,Bundesliga,2017,False,
LASK,Fabiano,31,Brazil,Second Striker,SS,,,,,out,summer,Bundesliga,2017,False,
LASK,Dimitry Imbongo,27,France,Centre-Forward,CF,,Without Club,,,out,summer,Bundesliga,2017,False,
Rapid Vienna,Veton Berisha,23,Norway,Centre-Forward,CF,1500000.0,Greuther Fürth,Germany,1500000.0,in,summer,Bundesliga,2017,False,
Rapid Vienna,Boli Bolingoli,22,Belgium,Left-Back,LB,,Club Brugge,Belgium,,in,summer,Bundesliga,2017,False,
Rapid Vienna,Lucas Galvão,26,Brazil,Centre-Back,CB,,SCR Altach,Austria,,in,summer,Bundesliga,2017,False,
Rapid Vienna,Maximilian Wöber,19,Austria,Centre-Back,CB,14000000.0,Ajax,Netherlands,7500000.0,out,summer,Bundesliga,2017,False,
Rapid Vienna,Christoph Schösswendter,28,Austria,Centre-Back,CB,,Union Berlin,Germany,,out,summer,Bundesliga,2017,False,
Rapid Vienna,Zsolt Rátkai,19,Hungary,Goalkeeper,GK,,Traiskirchen,Austria,0.0,out,summer,Bundesliga,2017,False,
Rapid Vienna,Jan Novota,33,Slovakia,Goalkeeper,GK,,Debrecen,Hungary,0.0,out,summer,Bundesliga,2017,False,
Rapid Vienna,Tomi Correa,32,Spain,Second Striker,SS,,Without Club,,,out,summer,Bundesliga,2017,False,
Rapid Vienna,Srdjan Grahovac,25,Bosnia-Herzegovina,Defensive Midfield,DM,,FC Astana,Kazakhstan,,out,winter,Bundesliga,2017,False,
Rapid Vienna,Thomas Schrammel,30,Austria,Left-Back,LB,,Sturm Graz,Austria,,out,winter,Bundesliga,2017,False,
Rapid Vienna,Philipp Prosenik,24,Austria,Centre-Forward,CF,,SV Ried,Austria,0.0,out,winter,Bundesliga,2017,False,
Rapid Vienna,Eren Keles,23,Austria,Left Winger,LW,,SKN St. Pölten,Austria,0.0,out,winter,Bundesliga,2017,False,
