club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
1.FC Köln,Jhon Córdoba,24.0,Colombia,Centre-Forward,CF,12000000.0,1.FSV Mainz 05,Germany,17000000.0,in,summer,1 Bundesliga,2017,False,
1.FC Köln,Jannes Horn,20.0,Germany,Left-Back,LB,1200000.0,VfL Wolfsburg,Germany,7000000.0,in,summer,1 Bundesliga,2017,False,
1.FC Köln,Jorge Meré,20.0,Spain,Centre-Back,CB,1200000.0,Sporting Gijón,Spain,7000000.0,in,summer,1 Bundesliga,2017,False,
1.FC Köln,João Queirós,19.0,Portugal,Centre-Back,CB,,Braga U19,Portugal,3000000.0,in,summer,1 Bundesliga,2017,False,
1.FC Köln,Chris Führich,19.0,Germany,Left Winger,LW,12000000.0,Oberhausen U19,Germany,0.0,in,summer,1 Bundesliga,2017,False,
1.FC Köln,Tim Handwerker,19.0,Germany,Left-Back,LB,1000000.0,Leverkusen U19,Germany,0.0,in,summer,1 Bundesliga,2017,False,
1.FC Köln,Claudio Pizarro,38.0,Peru,Centre-Forward,CF,,Without Club,,,in,summer,1 Bundesliga,2017,False,
1.FC Köln,Marcel Hartel,21.0,Germany,Central Midfield,CM,2800000.0,Union Berlin,Germany,,out,summer,1 Bundesliga,2017,False,
1.FC Köln,Artjoms Rudnevs,29.0,Latvia,Centre-Forward,CF,,,,,out,summer,1 Bundesliga,2017,False,
1.FC Köln,Simon Terodde,29.0,Germany,Centre-Forward,CF,,VfB Stuttgart,Germany,3000000.0,in,winter,1 Bundesliga,2017,False,
1.FC Köln,Vincent Koziello,22.0,France,Central Midfield,CM,,OGC Nice,France,3000000.0,in,winter,1 Bundesliga,2017,False,
1.FC Köln,Konstantin Rausch,27.0,Russia,Left-Back,LB,,Dinamo Moscow,Russia,1500000.0,out,winter,1 Bundesliga,2017,False,
1.FSV Mainz 05,Abdou Diallo,21.0,Senegal,Centre-Back,CB,9000000.0,Monaco,France,5000000.0,in,summer,1 Bundesliga,2017,False,
