club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AIK Solna,Robert Taylor,22,Finland,Left Winger,LW,1500000.0,RoPS,Finland,,in,summer,Allsvenskan,2017,False,
AIK Solna,Chinedu Obasi,31,Nigeria,Centre-Forward,CF,,SZ FC,China,0.0,in,summer,Allsvenskan,2017,False,
AIK Solna,Nicolás Stefanelli,22,Argentina,Centre-Forward,CF,1200000.0,Defensa,Argentina,,in,summer,Allsvenskan,2017,False,
AIK Solna,Rasmus Lindkvist,27,Sweden,Left-Back,LB,,Vålerenga,Norway,,in,summer,Allsvenskan,2017,False,
AIK Solna,Enoch Kofi Adu,27,Ghana,Defensive Midfield,DM,,Without Club,,,in,summer,Allsvenskan,2017,False,
AIK Solna,Sauli Väisänen,23,Finland,Centre-Back,CB,,SPAL,Italy,,out,summer,Allsvenskan,2017,False,
AIK Solna,Sulejman Krpic,26,Bosnia-Herzegovina,Centre-Forward,CF,,Sloboda Tuzla,Bosnia-Herzegovina,0.0,out,summer,Allsvenskan,2017,False,
AIK Solna,Patrick Kpozo,20,Ghana,Left-Back,LB,,Östersund,Sweden,,out,summer,Allsvenskan,2017,False,
AIK Solna,Robin Jansson,26,Sweden,Centre-Back,CB,,IK Oddevold,Sweden,,in,winter,Allsvenskan,2017,False,
AIK Solna,Budimir Janosevic,28,Serbia,Goalkeeper,GK,,Brommapojkarna,Sweden,0.0,in,winter,Allsvenskan,2017,False,
AIK Solna,Alexander Milosevic,26,Sweden,Centre-Back,CB,,Without Club,,0.0,in,winter,Allsvenskan,2017,False,
AIK Solna,Stefan Silva,27,Sweden,Centre-Forward,CF,,US Palermo,Italy,0.0,in,winter,Allsvenskan,2017,False,
AIK Solna,Robert Lundström,28,Sweden,Right-Back,RB,,Vålerenga,Norway,,in,winter,Allsvenskan,2017,False,
AIK Solna,Tarik Elyounoussi,29,Norway,Centre-Forward,CF,,Olympiacos,Greece,,in,winter,Allsvenskan,2017,False,
AIK Solna,Joel Ekstrand,28,Sweden,Centre-Back,CB,,Without Club,,,in,winter,Allsvenskan,2017,False,
AIK Solna,Stefan Ishizaki,35,Sweden,Right Midfield,RM,,Elfsborg,Sweden,0.0,out,winter,Allsvenskan,2017,False,
AIK Solna,Johan Blomberg,30,Sweden,Right Midfield,RM,,Colorado,United States,0.0,out,winter,Allsvenskan,2017,False,
AIK Solna,Noah Sonko Sundberg,21,The Gambia,Centre-Back,CB,2000000.0,Östersund,Sweden,0.0,out,winter,Allsvenskan,2017,False,
AIK Solna,Chinedu Obasi,31,Nigeria,Centre-Forward,CF,,Bolton,England,0.0,out,winter,Allsvenskan,2017,False,
AIK Solna,Amin Affane,23,Sweden,Attacking Midfield,AM,,IFK Göteborg,Sweden,,out,winter,Allsvenskan,2017,False,
AIK Solna,Nils-Eric Johansson,38,Sweden,Left-Back,LB,,,,,out,winter,Allsvenskan,2017,False,
BK Häcken,Mervan Çelik,27,Sweden,Left Winger,LW,,Akhisarspor,Turkey,0.0,in,summer,Allsvenskan,2017,False,
BK Häcken,Mathias Ranégie,33,Sweden,Centre-Forward,CF,,Watford,England,0.0,in,summer,Allsvenskan,2017,False,
BK Häcken,Shkodran Maholli,24,Sweden,Centre-Forward,CF,,Sirius,Sweden,,out,summer,Allsvenskan,2017,False,
BK Häcken,Karl Bohm,22,Sweden,Centre-Forward,CF,,Utsiktens BK,Sweden,0.0,in,winter,Allsvenskan,2017,False,
BK Häcken,Johan Hammar,23,Sweden,Centre-Back,CB,1200000.0,Örgryte,Sweden,0.0,in,winter,Allsvenskan,2017,False,
BK Häcken,Alexander Angelin,27,Sweden,Left-Back,LB,,Utsiktens BK,Sweden,0.0,in,winter,Allsvenskan,2017,False,
BK Häcken,Viktor Lundberg,26,Sweden,Centre-Forward,CF,,Marítimo,Portugal,,in,winter,Allsvenskan,2017,False,
BK Häcken,Egzon Binaku,22,Albania,Left-Back,LB,,Malmö FF,Sweden,,out,winter,Allsvenskan,2017,False,
BK Häcken,David Engström,27,Sweden,Centre-Back,CB,,Örgryte,Sweden,0.0,out,winter,Allsvenskan,2017,False,
BK Häcken,Albin Skoglund,20,Sweden,Centre-Forward,CF,,Varbergs BoIS,Sweden,0.0,out,winter,Allsvenskan,2017,False,
BK Häcken,Mohammed Abubakari,31,Ghana,Defensive Midfield,DM,,Helsingborgs IF,Sweden,0.0,out,winter,Allsvenskan,2017,False,
BK Häcken,Jakob Lindström,24,Sweden,Defensive Midfield,DM,,Örgryte,Sweden,0.0,out,winter,Allsvenskan,2017,False,
BK Häcken,Mathias Ranégie,33,Sweden,Centre-Forward,CF,,Syrianska FC,Sweden,0.0,out,winter,Allsvenskan,2017,False,
BK Häcken,Alexander Farnerud,33,Sweden,Central Midfield,CM,,Without Club,,,out,winter,Allsvenskan,2017,False,
Dalkurd FF,Malkolm Moënza,23,Sweden,Left-Back,LB,,GAIS,Sweden,,in,summer,Allsvenskan,2017,False,
Dalkurd FF,Adil Kizil,33,Sweden,Goalkeeper,GK,,Forssa BK,Sweden,0.0,out,summer,Allsvenskan,2017,False,
Dalkurd FF,Irfan Jasarevic,22,Bosnia-Herzegovina,Left-Back,LB,,FK Krupa,Bosnia-Herzegovina,,in,winter,Allsvenskan,2017,False,
Dalkurd FF,Oliver Berg,24,Norway,Attacking Midfield,AM,1000000.0,Odd,Norway,0.0,in,winter,Allsvenskan,2017,False,
Dalkurd FF,Abdulaziz Demircan,26,Turkey,Goalkeeper,GK,,Konyaspor,Turkey,0.0,in,winter,Allsvenskan,2017,False,
Dalkurd FF,Simon Strand,24,Sweden,Left-Back,LB,,Lyngby BK,Denmark,0.0,in,winter,Allsvenskan,2017,False,
Dalkurd FF,Johan Bertilsson,30,Sweden,Second Striker,SS,,Östersund,Sweden,0.0,in,winter,Allsvenskan,2017,False,
Dalkurd FF,Leopold Wahlstedt,18,Sweden,Goalkeeper,GK,2000000.0,FC Djursholm,Sweden,0.0,in,winter,Allsvenskan,2017,False,
Dalkurd FF,Ferhad Ayaz,23,Sweden,Left Winger,LW,,Örebro SK,Sweden,,in,winter,Allsvenskan,2017,False,
Dalkurd FF,Mohamed Buya Turay,23,Sierra Leone,Centre-Forward,CF,,AFC Eskilstuna,Sweden,,in,winter,Allsvenskan,2017,False,
Dalkurd FF,Mohamed Bangura,28,Sierra Leone,Left Winger,LW,,Akropolis IF,Sweden,0.0,out,winter,Allsvenskan,2017,False,
Dalkurd FF,Frank Pettersson,33,Sweden,Goalkeeper,GK,,J-Södra IF,Sweden,0.0,out,winter,Allsvenskan,2017,False,
Dalkurd FF,Oscar Lundin,22,Sweden,Defensive Midfield,DM,,Brage,Sweden,0.0,out,winter,Allsvenskan,2017,False,
Dalkurd FF,Richard Yarsuvat,25,Sweden,Centre-Forward,CF,,Norrby,Sweden,0.0,out,winter,Allsvenskan,2017,False,
Dalkurd FF,Jalid,27,Morocco,Left-Back,LB,,Brage,Sweden,,out,winter,Allsvenskan,2017,False,
Dalkurd FF,Predrag Randelovic,27,North Macedonia,Defensive Midfield,DM,,Värnamo,Sweden,,out,winter,Allsvenskan,2017,False,
Dalkurd FF,Kujtim Bala,27,Sweden,Left-Back,LB,,,,,out,winter,Allsvenskan,2017,False,
Dalkurd FF,Robertino Kljajic,27,Sweden,Goalkeeper,GK,,Without Club,,,out,winter,Allsvenskan,2017,False,
Djurgårdens IF,Julian Kristoffersen,20,Norway,Centre-Forward,CF,,FC Copenhagen,Denmark,0.0,in,summer,Allsvenskan,2017,False,
