club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,normalized_name
1.FC Köln,Jhon Córdoba,24.0,Colombia,Centre-Forward,CF,12000000.0,1.FSV Mainz 05,Germany,17000000.0,in,summer,1 Bundesliga,2017,False,,jhon cordoba
1.FC Köln,Jannes Horn,20.0,Germany,Left-Back,LB,1200000.0,VfL Wolfsburg,Germany,7000000.0,in,summer,1 Bundesliga,2017,False,,jannes horn
1.FC Köln,Jorge Meré,20.0,Spain,Centre-Back,CB,1200000.0,Sporting Gijón,Spain,7000000.0,in,summer,1 Bundesliga,2017,False,,jorge mere
1.FC Köln,João Queirós,19.0,Portugal,Centre-Back,CB,,Braga U19,Portugal,3000000.0,in,summer,1 Bundesliga,2017,False,,joao queiros
1.FC Köln,Simon Terodde,29.0,Germany,Centre-Forward,CF,,VfB Stuttgart,Germany,3000000.0,in,winter,1 Bundesliga,2017,False,,simon terodde
1.FC Köln,Vincent Koziello,22.0,France,Central Midfield,CM,,OGC Nice,France,3000000.0,in,winter,1 Bundesliga,2017,False,,vincent koziello
1.FSV Mainz 05,Abdou Diallo,21.0,Senegal,Centre-Back,CB,9000000.0,Monaco,France,5000000.0,in,summer,1 Bundesliga,2017,False,,abdou diallo
1.FSV Mainz 05,Alexandru Maxim,26.0,Romania,Attacking Midfield,AM,2000000.0,VfB Stuttgart,Germany,3000000.0,in,summer,1 Bundesliga,2017,False,,alexandru maxim
1.FSV Mainz 05,Viktor Fischer,23.0,Denmark,Left Winger,LW,,Middlesbrough,England,3000000.0,in,summer,1 Bundesliga,2017,False,,viktor fischer
1.FSV Mainz 05,Kenan Kodro,23.0,Bosnia-Herzegovina,Centre-Forward,CF,1200000.0,CA Osasuna,Spain,1750000.0,in,summer,1 Bundesliga,2017,False,,kenan kodro
1.FSV Mainz 05,Anthony Ujah,27.0,Nigeria,Centre-Forward,CF,,Liaoning FC,China,3800000.0,in,winter,1 Bundesliga,2017,False,,anthony ujah
Bayer 04 Leverkusen,Lucas Alario,24.0,Argentina,Centre-Forward,CF,2500000.0,River Plate,Argentina,19000000.0,in,summer,1 Bundesliga,2017,False,,lucas alario
Bayer 04 Leverkusen,Panagiotis Retsos,19.0,Greece,Centre-Back,CB,2000000.0,Olympiacos,Greece,17500000.0,in,summer,1 Bundesliga,2017,False,,panagiotis retsos
Bayer 04 Leverkusen,Sven Bender,28.0,Germany,Defensive Midfield,DM,,Bor. Dortmund,Germany,12500000.0,in,summer,1 Bundesliga,2017,False,,sven bender
Bayer 04 Leverkusen,Dominik Kohr,23.0,Germany,Defensive Midfield,DM,3500000.0,FC Augsburg,Germany,2000000.0,in,summer,1 Bundesliga,2017,False,,dominik kohr
Bayern Munich,Corentin Tolisso,22.0,France,Central Midfield,CM,8000000.0,Olympique Lyon,France,41500000.0,in,summer,1 Bundesliga,2017,False,,corentin tolisso
Bayern Munich,Kingsley Coman,21.0,France,Left Winger,LW,65000000.0,Juventus,Italy,21000000.0,in,summer,1 Bundesliga,2017,False,,kingsley coman
Bayern Munich,Niklas Süle,21.0,Germany,Centre-Back,CB,30000000.0,TSG Hoffenheim,Germany,20000000.0,in,summer,1 Bundesliga,2017,False,,niklas sule
Bayern Munich,Serge Gnabry,21.0,Germany,Right Winger,RW,55000000.0,Werder Bremen,Germany,8000000.0,in,summer,1 Bundesliga,2017,False,,serge gnabry
Bayern Munich,Sandro Wagner,30.0,Germany,Centre-Forward,CF,,TSG Hoffenheim,Germany,13000000.0,in,winter,1 Bundesliga,2017,False,,sandro wagner
Borussia Dortmund,Andriy Yarmolenko,27.0,Ukraine,Right Winger,RW,2000000.0,Dynamo Kyiv,Ukraine,25000000.0,in,summer,1 Bundesliga,2017,False,,andriy yarmolenko
Borussia Dortmund,Jadon Sancho,17.0,England,Left Winger,LW,32000000.0,Man City U18,England,20590000.0,in,summer,1 Bundesliga,2017,False,,jadon sancho
Borussia Dortmund,Maximilian Philipp,23.0,Germany,Second Striker,SS,2000000.0,SC Freiburg,Germany,20000000.0,in,summer,1 Bundesliga,2017,False,,maximilian philipp
Borussia Dortmund,Ömer Toprak,27.0,Turkey,Centre-Back,CB,,B. Leverkusen,Germany,12000000.0,in,summer,1 Bundesliga,2017,False,,omer toprak
Borussia Dortmund,Mahmoud Dahoud,21.0,Germany,Central Midfield,CM,12000000.0,Bor. M'gladbach,Germany,12000000.0,in,summer,1 Bundesliga,2017,False,,mahmoud dahoud
Borussia Dortmund,Jeremy Toljan,23.0,Germany,Right-Back,RB,4500000.0,TSG Hoffenheim,Germany,7000000.0,in,summer,1 Bundesliga,2017,False,,jeremy toljan
Borussia Dortmund,Manuel Akanji,22.0,Switzerland,Centre-Back,CB,38000000.0,FC Basel,Switzerland,21500000.0,in,winter,1 Bundesliga,2017,False,,manuel akanji
Borussia Dortmund,Sergio Gómez,17.0,Spain,Left-Back,LB,13000000.0,Barça U19,Spain,3000000.0,in,winter,1 Bundesliga,2017,False,,sergio gomez
Borussia Mönchengladbach,Matthias Ginter,23.0,Germany,Centre-Back,CB,18000000.0,Bor. Dortmund,Germany,17000000.0,in,summer,1 Bundesliga,2017,False,,matthias ginter
Borussia Mönchengladbach,Denis Zakaria,20.0,Switzerland,Defensive Midfield,DM,20000000.0,BSC Young Boys,Switzerland,12000000.0,in,summer,1 Bundesliga,2017,False,,denis zakaria
Borussia Mönchengladbach,Vincenzo Grifo,24.0,Italy,Left Winger,LW,12000000.0,SC Freiburg,Germany,6000000.0,in,summer,1 Bundesliga,2017,False,,vincenzo grifo
Borussia Mönchengladbach,Raúl Bobadilla,30.0,Paraguay,Centre-Forward,CF,,FC Augsburg,Germany,2000000.0,in,summer,1 Bundesliga,2017,False,,raul bobadilla
Eintracht Frankfurt,Sébastien Haller,23.0,Cote d'Ivoire,Centre-Forward,CF,25000000.0,FC Utrecht,Netherlands,7000000.0,in,summer,1 Bundesliga,2017,False,,sebastien haller
Eintracht Frankfurt,Jetro Willems,23.0,Netherlands,Left-Back,LB,,PSV Eindhoven,Netherlands,4500000.0,in,summer,1 Bundesliga,2017,False,,jetro willems
Eintracht Frankfurt,Simon Falette,25.0,Guinea,Centre-Back,CB,,FC Metz,France,2700000.0,in,summer,1 Bundesliga,2017,False,,simon falette
Eintracht Frankfurt,Daichi Kamada,20.0,Japan,Attacking Midfield,AM,27000000.0,Sagan Tosu,Japan,1600000.0,in,summer,1 Bundesliga,2017,False,,daichi kamada
Eintracht Frankfurt,Danny da Costa,23.0,Germany,Right-Back,RB,1800000.0,B. Leverkusen,Germany,1000000.0,in,summer,1 Bundesliga,2017,False,,danny da costa
Eintracht Frankfurt,Jonathan de Guzmán,29.0,Netherlands,Defensive Midfield,DM,,SSC Napoli,Italy,1000000.0,in,summer,1 Bundesliga,2017,False,,jonathan de guzman
FC Augsburg,Michael Gregoritsch,23.0,Austria,Centre-Forward,CF,8000000.0,Hamburger SV,Germany,5500000.0,in,summer,1 Bundesliga,2017,False,,michael gregoritsch
FC Augsburg,Sergio Córdova,19.0,Venezuela,Centre-Forward,CF,1900000.0,Caracas FC,Venezuela,1000000.0,in,summer,1 Bundesliga,2017,False,,sergio cordova
FC Schalke 04,Nabil Bentaleb,22.0,Algeria,Central Midfield,CM,7000000.0,Tottenham,England,19000000.0,in,summer,1 Bundesliga,2017,False,,nabil bentaleb
FC Schalke 04,Yevgen Konoplyanka,27.0,Ukraine,Left Winger,LW,,Sevilla FC,Spain,12500000.0,in,summer,1 Bundesliga,2017,False,,yevgen konoplyanka
FC Schalke 04,Amine Harit,20.0,Morocco,Attacking Midfield,AM,12000000.0,FC Nantes,France,8000000.0,in,summer,1 Bundesliga,2017,False,,amine harit
FC Schalke 04,Bastian Oczipka,28.0,Germany,Left-Back,LB,,E. Frankfurt,Germany,4500000.0,in,summer,1 Bundesliga,2017,False,,bastian oczipka
FC Schalke 04,Pablo Insua,23.0,Spain,Centre-Back,CB,,Dep. La Coruña,Spain,3500000.0,in,summer,1 Bundesliga,2017,False,,pablo insua
FC Schalke 04,Cedric Teuchert,20.0,Germany,Centre-Forward,CF,2000000.0,1.FC Nuremberg,Germany,1000000.0,in,winter,1 Bundesliga,2017,False,,cedric teuchert
Hamburger SV,Kyriakos Papadopoulos,25.0,Greece,Centre-Back,CB,,B. Leverkusen,Germany,6500000.0,in,summer,1 Bundesliga,2017,False,,kyriakos papadopoulos
Hamburger SV,André Hahn,26.0,Germany,Right Winger,RW,,Bor. M'gladbach,Germany,6000000.0,in,summer,1 Bundesliga,2017,False,,andre hahn
Hamburger SV,Julian Pollersbeck,22.0,Germany,Goalkeeper,GK,,1.FC K'lautern,Germany,3500000.0,in,summer,1 Bundesliga,2017,False,,julian pollersbeck
